Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
21NC37GW	SO1087         	BROOK COVE / SOUTHEAST / ROANOKE                                                                                                                                              	NC DE&NR                 	North Carolina                	Stokes                        	 36.285278	-80.190278 	03010103	               	              	        	                                                            	E58L1,100SO1087                         	/TYPA/AMBNT/WELL                                                 	          500	FEET                	 	G	none
21NC37GW	SO1670         	DANBERRY HOSPITAL 1000' BEFORE SR1001 AT WTOWER / SOUTHEAST / ROANOKE                                                                                                         	NC DE&NR                 	North Carolina                	Stokes                        	 36.418611	-80.23     	03010103	               	              	        	                                                            	C58X3                                   	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
21NC37GW	SO1983         	LAWSONVILLE / SOUTHEAST / ROANOKE                                                                                                                                             	NC DE&NR                 	North Carolina                	Stokes                        	 36.485833	-80.229722 	03010103	               	              	        	                                                            	C58D1,100SO1983                         	/TYPA/AMBNT/WELL                                                 	          203	FEET                	 	G	none
21NC37GW	SO2134         	PINNACLE / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                         	NC DE&NR                 	North Carolina                	Stokes                        	 36.316667	-80.416667 	03040101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           73	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	SO2135         	PINNACLE / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                         	NC DE&NR                 	North Carolina                	Stokes                        	 36.366667	-80.416667 	03040101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           48	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	SO2136         	KING / SOUTHEAST / ROANOKE                                                                                                                                                    	NC DE&NR                 	North Carolina                	Stokes                        	 36.328333	-80.295    	03010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          285	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	SO2137         	KING / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                             	NC DE&NR                 	North Carolina                	Stokes                        	      36.3	-80.366667 	03040101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          145	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	SO2138         	SANDY RIDGE / SOUTHEAST / ROANOKE                                                                                                                                             	NC DE&NR                 	North Carolina                	Stokes                        	     36.45	-80.083333 	03010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          200	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	SO2139         	KING / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                             	NC DE&NR                 	North Carolina                	Stokes                        	 36.345833	-80.370833 	03040101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          150	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	SO2140         	MADISON / SOUTHEAST / ROANOKE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Stokes                        	 36.416667	-80.033333 	03010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          150	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	SO2141         	MADISON / SOUTHEAST / ROANOKE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Stokes                        	      36.4	-80.116667 	03010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          150	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	SO2142         	WESTFIELD / SOUTHEAST / ROANOKE                                                                                                                                               	NC DE&NR                 	North Carolina                	Stokes                        	      36.5	-80.333333 	03010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           61	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	SO2143         	WALNUT COVE / SOUTHEAST / ROANOKE                                                                                                                                             	NC DE&NR                 	North Carolina                	Stokes                        	     36.25	-80.083333 	03010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           45	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	SO2144         	GERMANTON / SOUTHEAST / ROANOKE                                                                                                                                               	NC DE&NR                 	North Carolina                	Stokes                        	 36.286111	-80.208333 	03010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           43	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	SO2145         	PILOT MOUNTAIN / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                   	NC DE&NR                 	North Carolina                	Stokes                        	 36.388889	-80.425    	03040101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           48	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	SO2147         	GERMANTON / SOUTHEAST / ROANOKE                                                                                                                                               	NC DE&NR                 	North Carolina                	Stokes                        	      36.3	-80.166667 	03010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           34	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	SO2148         	WALNUT COVE / SOUTHEAST / ROANOKE                                                                                                                                             	NC DE&NR                 	North Carolina                	Stokes                        	     36.35	-80.15     	03010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           40	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	SO2149         	GERMANTON / SOUTHEAST / ROANOKE                                                                                                                                               	NC DE&NR                 	North Carolina                	Stokes                        	 36.265278	-80.213889 	03010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           25	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NCGWNW	SO1670         	DANBERRY HOSPITAL 1000' BEFORE SR1001 AT WTOWER / SOUTHEAST / ROANOKE                                                                                                         	NC ENV. HTH. NAT. RES.   	North Carolina                	Stokes                        	 36.418611	-80.23     	03010103	               	              	        	                                                            	C58X3                                   	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
21NCGWNW	SO1983         	LAWSONVILLE / SOUTHEAST / ROANOKE                                                                                                                                             	NC ENV. HTH. NAT. RES.   	North Carolina                	Stokes                        	 36.485833	-80.229722 	03010103	               	              	        	                                                            	C58D1,100SO1983                         	/TYPA/AMBNT/WELL                                                 	          203	FEET                	 	G	none
