Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
12ELS1  	3A2-002        	(NO NAME) /  /                                                                                                                                                                	EPA ENVIRONMENTAL RES LAB	North Carolina                	Surry                         	 36.444722	-80.93                                   	 880000E-5  	 	03040101	00010	1984-11-29	      2500	          	        	            	        	                	  	                     	B 	                                                            	
12NSS   	3A068012L      	BEAVER CREEK /  /                                                                                                                                                             	EPA ENVIRONMENTAL RES LAB	North Carolina                	Surry                         	 36.361111	-80.674722                               	 123000E-4  	 	03040101	00010	1986-05-04	      1300	          	        	            	        	                	  	                     	B 	                                                            	
12NSS   	3A068012U      	BEAVER CREEK /  /                                                                                                                                                             	EPA ENVIRONMENTAL RES LAB	North Carolina                	Surry                         	 36.380556	-80.634722                               	 122000E-4  	 	03040101	00010	1986-05-04	      1200	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q1065000       	Mitchell River @ NCSR 1001 near State Road /  /                                                                                                                               	DEPT HEALTH NATURAL RES  	North Carolina                	Surry                         	 36.327778	-80.806667                               	 205000E-4  	 	03040101	00010	1998-06-01	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q1065000       	Mitchell River @ NCSR 1001 near State Road /  /                                                                                                                               	DEPT HEALTH NATURAL RES  	North Carolina                	Surry                         	 36.327778	-80.806667                               	 225000E-4  	 	03040101	00010	1998-07-13	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q1065000       	Mitchell River @ NCSR 1001 near State Road /  /                                                                                                                               	DEPT HEALTH NATURAL RES  	North Carolina                	Surry                         	 36.327778	-80.806667                               	 190000E-4  	 	03040101	00010	1998-08-03	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q1065000       	Mitchell River @ NCSR 1001 near State Road /  /                                                                                                                               	DEPT HEALTH NATURAL RES  	North Carolina                	Surry                         	 36.327778	-80.806667                               	 225000E-4  	 	03040101	00010	1998-08-18	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q1065000       	Mitchell River @ NCSR 1001 near State Road /  /                                                                                                                               	DEPT HEALTH NATURAL RES  	North Carolina                	Surry                         	 36.327778	-80.806667                               	 225000E-4  	 	03040101	00010	1998-09-01	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q1065000       	Mitchell River @ NCSR 1001 near State Road /  /                                                                                                                               	DEPT HEALTH NATURAL RES  	North Carolina                	Surry                         	 36.327778	-80.806667                               	 180000E-4  	 	03040101	00010	1998-10-05	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q1065000       	Mitchell River @ NCSR 1001 near State Road /  /                                                                                                                               	DEPT HEALTH NATURAL RES  	North Carolina                	Surry                         	 36.327778	-80.806667                               	 110000E-4  	 	03040101	00010	1998-10-16	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q1065000       	Mitchell River @ NCSR 1001 near State Road /  /                                                                                                                               	DEPT HEALTH NATURAL RES  	North Carolina                	Surry                         	 36.327778	-80.806667                               	 980000E-5  	 	03040101	00010	1998-11-10	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q1065000       	Mitchell River @ NCSR 1001 near State Road /  /                                                                                                                               	DEPT HEALTH NATURAL RES  	North Carolina                	Surry                         	 36.327778	-80.806667                               	 550000E-5  	 	03040101	00010	1998-12-03	      2500	          	        	            	        	                	  	                     	B 	                                                            	
