
Surry, NC
Number of Stations = 111


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	10    	96    	1984-11-29	1998-12-03	  1.00E+01  	  9.90E+00  	  1.92E+01
00064	DEPTH OF STREAM   MEAN(FT)	DEPTH OF STREAM, MEAN (FT)                        	2     	2     	1986-05-04	1986-05-04	  1.64E+00  	  3.30E-01  	  9.85E-01
00076	TURB     TRBIDMTR HACH FTU	TURBIDITY,HACH TURBIDIMETER (FORMAZIN TURB UNIT)  	7     	49    	1998-06-01	1998-12-03	  1.33E+01  	  9.70E+00  	  1.02E+01
00078	TRANSP   SECCHI   METERS  	TRANSPARENCY, SECCHI DISC (METERS)                	1     	1     	1984-11-29	1984-11-29	  3.90E+00  	  3.90E+00  	  3.90E+00
00080	COLOR    PT-CO    UNITS   	COLOR (PLATINUM-COBALT UNITS)                     	3     	3     	1984-11-29	1986-05-04	  2.00E+01  	  2.50E+01  	  2.33E+01
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	7     	64    	1998-06-01	1998-12-03	  1.05E+02  	  9.16E+01  	  1.92E+02
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	3     	3     	1984-11-29	1986-05-04	  1.22E+01  	  3.43E+01  	  2.46E+01
00154	SULFATE  (AS S)   MG/L    	SULFATE (AS S) WHOLE     WATER, MG/L              	1     	1     	1984-11-29	1984-11-29	  7.90E-01  	  7.90E-01  	  7.90E-01
00299	DO       PROBE    MG/L    	OXYGEN ,DISSOLVED, ANALYSIS BY PROBE          MG/L	2     	2     	1986-05-04	1986-05-04	  1.00E+01  	  1.04E+01  	  1.02E+01
