Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1118ATL8	110206         	ALMOND POINT SWIMMING BEACH / TENNESSEE R / LITTLE TENNESSEE R                                                                                                                	US FOREST SERVICE        	North Carolina                	Swain                         	 35.373889	-83.565556 	06010202	            003	         43.98	OFF     	FONTANA L                                                   	080300001001                            	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	SWIMMING AREA.FECAL COLIFORM MONITORED WEEKLY DURING PERIOD OF USE BY M. F. METHOD.PH BY HACH COLOR/METER.ORIGINAL DATA AND MORE INFORMATION AVAILABLE AT NATIONAL FORESTS IN NORTH CAROLINA SUPERVISORS OFFICE ASHEVILLE,NC FTS 6720601 OR COMMERCIAL 7042582850 ESTABLISHED SWIMMING AREA ALMOND POINT SWIMMING BEACH IS LOCATED IN ALMOND  POINT RECREATION AREA ON FONTANA LAKE. ALMOND POINT IS OFF OF US19 13 MILES SW OF BRYSON CITY NC
11EPALES	370401         	FONTANA LAKE /  /                                                                                                                                                             	USEPA                    	North Carolina                	Swain                         	 35.453611	-83.804444 	06010204	               	              	        	                                                            	none                                    	/TYPA/AMBNT/LAKE                                                 	          300	FEET                	S	 	NEAR DAM, ABOUT 75 YDS FROM SAME, ABOUT 1/3 DISTANCE FROM SOUTHEAST END. MILE 61 1/10 LITTLE TENNESSEE RIVER COMMENTS: 6-2, FORRELL 11; ONE PER CENT LIGHT AT 27 FT; CHANNEL A OFFSET EQUAL -21.11,+79.11; ALGAE SAMPLE TAKEN FROM 27 FT. 8-21 ULE 12, VERY CLEAR GREEN, NO SURFACE ALGAE OR HIGHER AQUATICS; 1% LIGHT AT 42 FT; INTEGRATED SAMPLES FR 30 FT TO 0 FT. MAP: TENN VALLEY NAVIGATION MAP
11EPALES	370402         	FONTANA LAKE /  /                                                                                                                                                             	USEPA                    	North Carolina                	Swain                         	    35.445	-83.726944 	06010202	            011	          1.76	OFF     	LITTLE TENNESSEE R                                          	none                                    	/TYPA/AMBNT/LAKE                                                 	          170	FEET                	S	 	CENTRAL AREA OF LAKE, DUE WEST OF ISLAND, ABOUT MID-CHANNEL. MILE 65 9/ 10 LITTLE TENNESSEE RIVER. COMMENTS: 6-2 ULE 12; 1% LIGHT AT 27 FT; WATER IS VERY CLEAR, GREENISH IN APPEARANCE. 8-21 ULE 13, NO SURF ALGAE OR HIGHER AQUATICS, 1% LIGHT AT 25 FT, INTEGRATED 30 FT TO SURF. MAP: TENN VALLEY NAVIGATION MAP
11EPALES	370403         	FONTANA LAKE /  /                                                                                                                                                             	USEPA                    	North Carolina                	Swain                         	 35.435833	-83.585556 	06010202	            012	            .1	OFF     	LITTLE TENNESSEE R                                          	none                                    	/TYPA/AMBNT/LAKE                                                 	          240	FEET                	S	 	EASTERN AREA, AT JUNCTION OF TUSKASEGEE AND LITTLE TENNESSEE RIVERS, NEAR LANDMARKER NO. 10, ABOUT 200 YDS. MILE 76 1/10 LITTLE TENNESSEE RIVER. COMMENTS: ULE 14; ONE PER CENT LIGHT AT 17 FT; CHANNEL A OFFSET EQUALS 28.11, PLUS 2.75; WATER SLIGHTLY TURBID (NOT AS CLEAR AS OTHER SITES) WITHOUT VISIBLE ALGAE. 8-21 ULE 12, NO SURFACE ALGAE OR HIGHER AQUATICS, INTEGRATED 30 FT TO 0 FT. MAP: TENN VALLEY NAVIGATION MAP
11EPALES	370404         	FONTANA LAKE /  /                                                                                                                                                             	USEPA                    	North Carolina                	Swain                         	 35.442222	-83.555278 	06010203	            004	          1.81	OFF     	FONTANA L                                                   	none                                    	/TYPA/AMBNT/LAKE                                                 	          145	FEET                	S	 	ON THE TUCKASEGEE ARM (NORTHEAST) NEARLY 4 MILES ABOVE JUNCTION WITH LITTLE TENNESSEE RIVER, 1/2 MILE ABOVE ENTRY OF FORNEY CREEK AT TIP OF POINT EXTENDING FROM SOUTH SHORE. MILE 76 1/10 LITTLE TENNESSEE RIVER. COMMENTS: 6-2, PROFILES REVEAL STEEP THERMAL SLOPE BETWEEN 5 AND 25 FT DEPTH AND STRONG TURBIDITY BAND 90 FT PLUS OR MINUS 20 FT; 141 FT NO DO OR OTHER SAMPLES TAKEN. 8-21 ULE 14, NO SURFACE ALGAE OR HIGHER AQUATICS 1% LIGHT AT 18 FT. MAP: TENN VALLEY NAVIGATION MAP
11EPALES	370405         	FONTANA LAKE /  /                                                                                                                                                             	USEPA                    	North Carolina                	Swain                         	 35.413056	-83.558056 	06010202	            006	          4.91	OFF     	FONTANA L                                                   	none                                    	/TYPA/AMBNT/LAKE                                                 	          159	FEET                	S	 	JUST DOWNLAKE FROM MOUTH OF THE STEVENSON RIVER ENTERING FROM THE EAST, LOCATED IN OLD RIVER CHANNEL NORTHEAST OF LARGE IRREGULAR-SHAPED ISLAND ABOUT 250 YDS AWAY. MILE 3 3/4 TUCKASEGEE RIVER. COMMENTS: 6-3, ULE 16, MUCH DEBRIS ON SURFACE (STICKS, PINE NEEDLES, ETC.); DOUBLE HEAVY TURBIDITY PEAKS ON PROFILE; TEMPERATURE STEEP SLOPE SURFACE TO 20 FT. 8-21 ULE 13, NO SURFACE ALGAE OR HIGHER AQUATICS, 1% LIGHT AT 19 FT. MAP: TENN VALLEY NAVIGATION MAP
11EPALES	370406         	FONTANA LAKE /  /                                                                                                                                                             	USEPA                    	North Carolina                	Swain                         	 35.381111	-83.554722 	06010202	            005	          2.01	OFF     	FONTANA L                                                   	none                                    	/TYPA/AMBNT/LAKE                                                 	          112	FEET                	S	 	APPR 1/2 MILE EAST OF POINT WHERE NANTAHALA RIVER ENTERS, IN MID-CHANNEL BETWEEN SMALL FINGERLIKE COVES EXTENDING AWAY TO NORTH AND TO SOUTH, WEST OF BARE ROCK CLIFFS VISIBLE AT JUNCTION. MILE 81 1/5 LITTLE TENN. RIVER. COMMENTS: 6-3, ULE 18, VERY MUDDY BROWN APPEARANCE; SEE PROFILES FOR COMPLEX OF MULTIPLE TURBIDITY BAND. 8-21 ULE 13, NO SURFACE ALGAE OR HIGHER AQUATICS, 1% LIGHT AT 16 FT. MAP: TENN VALLEY NAVIGATION MAP
11EPALES	370407         	FONTANA LAKE /  /                                                                                                                                                             	USEPA                    	North Carolina                	Swain                         	 35.366389	-83.563889 	06010202	            004	          1.36	OFF     	FONTANA L                                                   	none                                    	/TYPA/AMBNT/LAKE                                                 	          100	FEET                	S	 	CAUTION: WIRES JUST SOUTH OF HOUSE. MILE 1 1/3 NANTAHALA RIVER. LOCATED APPR 1 MILE SOUTH ON THE NANTAHALA RIVER FROM THE JUNCTION WITH THE LITTLE TENNESSEE RIVER IN MID-CHANNEL (CHANNEL SLIGHTLY FAVORS EAST SHORE AT THIS POINT), APPR 1/4 MILE SOUTH OF HIGHWAY BRIDGE, ADJACENT TO IMPRESSIVE STONE HOUSE WITH STONE WALLS AND SWIMMING POOL. COMMENTS: 6-3, ULE 18, TURBID GREEN-BROWN; VERY STEEP TEMPERATURE GRADIENT SURFACE TO 10 FT; BROAD MAJOR TURBIDITY BAND BETWEEN 25 AND 50 FT. 8-21 ULE 14 NO SURFACE ALGE OR HIGHER AQUATICS, 1% LIGHT AT 16 FT. MAP: TENN VALLEY NAVIGATION MAP
12NSS   	2A07816L       	EAGLE CREEK /  /                                                                                                                                                              	EPA ENVIRONMENTAL RES LAB	North Carolina                	Swain                         	 35.498056	-83.763333 	06010202	               	              	        	                                                            	2AS2A07816L                             	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	THESE DATA WERE COLLECTED DURING PHASE I OF THE NATIONAL STREAM SURVEY AS PART OF EPA'S NATIONAL SURFACE WATER SURVEY AND AQUATIC EFFECTS RESEARCH PROGRAM UNDER THE NATIONAL ACID PRECIPITATION ASSESSMENT PROGRAM.  THE SURVEY DESIGN, METHODS, AND DATA LIMITAITONS ARE DESCRIBED IN: KAUFMANN, P.R., ET AL. 1988. CHEMICAL CHARACTERISTICS OF STREAMS IN THE MID-ATLANTIC AND SOUTHEASTERN UNITED STATES.  VOL.I: POPULATION DESCRIPTIONS AND PHYSICO-CHEMICAL RELATIONSHIPS. EPA/600/3-88/021A, U.S. ENVIRON. PROT. AGENCY, WASHINGTON, D.C. THE DATA IN STORET ARE THOSE REPORTED IN KAUFMANN ET AL. (1988) WITH THE FOLLOWING EXCEPTIONS: (1) UNITS FOR CHEMICAL PARAMETERS ARE TYPICALLY IN MG/L RATHER THAN MICROEQ/L; (2) NO SUBSTITUTED VALUES ARE PROVIDED FOR SUSPECT DATA; (3) TAGS AND FLAGS USED TO IDENTIFY SUSPICIOUS DATA ARE NOT SHOWN; (4) CALCULATED OR DERIVED VARIABLES ARE EXCLUDED.
