
Swain, NC
Number of Stations = 72


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00002	HSAMPLOC % FROM   RT BANK 	X-SEC. LOC., HORIZ (% FROM R BANK LOOK UPSTR.)    	39    	1327  	1966-05-01	1996-10-29	  1.00E+01  	  9.70E+01  	  3.88E+01
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	15    	357   	1973-06-02	1996-09-05	  1.03E+04  	  9.69E+03  	  1.46E+04
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	63    	12687 	1966-05-01	1997-11-05	   .00E+00  	  9.90E+00  	  1.61E+01
00011	WATER    TEMP     FAHN    	TEMPERATURE, WATER (DEGREES FAHRENHEIT)           	1     	40    	1974-06-15	1977-06-13	  6.98E+01  	  8.96E+01  	  8.01E+01
00019	SAMPLE   WEIGHT   GRAMS   	SAMPLE WEIGHT IN GRAMS                            	5     	96    	1987-09-23	1994-08-09	  1.02E+03  	  9.77E+02  	  6.40E+02
00029	FIELD    IDENT    NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	1     	86    	1981-11-30	1982-03-19	  1.01E+01  	  9.30E+00  	  7.48E+00
00039	SAMPLE   LENGTH   MM      	SAMPLE LENGTH IN MILLIMETERS                      	5     	96    	1987-09-23	1994-08-09	  2.20E+02  	  6.51E+02  	  3.79E+02
00061	STREAM   FLOW,    INST-CFS	FLOW, STREAM, INSTANTANEOUS                    CFS	7     	2642  	1966-05-01	1997-11-05	   .00E+00  	  9.97E+02  	  5.90E+03
00064	DEPTH OF STREAM   MEAN(FT)	DEPTH OF STREAM, MEAN (FT)                        	9     	26    	1985-03-20	1985-07-16	  1.00E+00  	  8.20E-01  	  1.08E+00
00065	STREAM   STAGE    FEET    	STAGE, STREAM (FEET)                              	3     	370   	1981-11-30	1994-03-09	  1.00E+00  	  9.80E-01  	  1.95E+00
00070	TURB     JKSN     JTU     	TURBIDITY, (JACKSON CANDLE UNITS)                 	8     	103   	1966-05-01	1979-09-26	  1.00E+01  	  9.00E+00  	  6.44E+00
00074	TURB     TRANS    %       	TURBIDITY, TRANSMISSOMETER, PERCENT TRANSMISSION  	7     	168   	1973-06-02	1973-10-26	  1.00E+00  	  9.80E+01  	  8.11E+01
00076	TURB     TRBIDMTR HACH FTU	TURBIDITY,HACH TURBIDIMETER (FORMAZIN TURB UNIT)  	1     	1     	1993-09-24	1993-09-24	  3.40E+00  	  3.40E+00  	  3.40E+00
00077	TRANSP   SECCHI   INCHES  	TRANSPARENCY, SECCHI DISC (INCHES)                	7     	20    	1973-06-02	1973-10-26	  1.00E+02  	  9.60E+01  	  1.07E+02
00078	TRANSP   SECCHI   METERS  	TRANSPARENCY, SECCHI DISC (METERS)                	3     	49    	1988-04-29	1996-10-29	  1.10E+00  	  6.00E+00  	  3.13E+00
00080	COLOR    PT-CO    UNITS   	COLOR (PLATINUM-COBALT UNITS)                     	20    	169   	1966-05-01	1993-09-08	  1.00E+02  	  8.00E+00  	  1.67E+01
00081	AP COLOR PT-CO    UNITS   	COLOR,APPARENT(UNFILTERED SAMPLE) PLAT-COB UNITS  	6     	59    	1973-06-26	1992-09-16	  1.00E+01  	  9.00E+00  	  1.97E+01
00085	ODOR     THRSH NO RM. TEMP	ODOR (THRESHOLD NUMBER AT ROOM TEMPERATURE)       	3     	27    	1966-05-01	1973-06-26	  1.00E+00  	  1.00E+00  	  1.00E+00
00090	REDOX    ORP      MV      	OXIDATION REDUCTION POTENTIAL (MILLIVOLTS)        	4     	51    	1979-04-25	1995-04-26	  3.49E+02  	  6.92E+02  	  5.91E+02
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	14    	4461  	1973-08-21	1996-10-29	  1.00E+01  	  7.00E-01  	  2.20E+01
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	54    	1229  	1966-05-01	1985-07-16	  1.00E+01  	  9.90E+00  	  1.53E+01
00098	VSAMPLOC DEPTH    METERS  	SAMPLING STATION LOCATION  VERTICAL (METERS)      	30    	413   	1979-04-25	1986-05-28	  1.00E+02  	  9.90E+01  	  1.65E+01
00117	PRECIP   DURATION MINUTES 	PRECIPITATION,DURATION OF STORM EVENT, MINUTES    	1     	6     	1981-11-30	1982-03-16	  1.26E+03  	  3.00E+02  	  1.47E+03
