Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1118ATL8	110702         	CHERRY COVE BRANCH  BR/EB / FRENCH BROAD RIVER / DAVIDSON RIVER                                                                                                               	US FOREST SERVICE        	North Carolina                	Transylvania                  	  35.33575	-82.798528 	06010105	               	              	        	                                                            	110005                                  	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	STATION IS LOCATED IN EXTREME HEADWATERS OF LOOKING GLASS CR. ON AN UNNA MED TRIBUTARY FLOWING OUT OF CHERRY COVE, JUST UPSTREAM OF CONFLUENCE WI TH TRIBUTARY FLOWING OUT OF BENNET COVE.  CAUTION IS URGED IN INTERPRETI NG THE DATA ON CHEMICAL PARAMETERS BECAUSE ANALYSIS OF SAMPLES, COLLECTE D PRIOR TO JAN., 1976; WAS ACCOMPLISHED IN THE FIELD USING PORTABLE EQUI PMENT.  PRIOR TO JAN., 1976; THIS STATION WAS LOCATED 2100 FT. DOWNSTREA M AT HEADWATERS ROAD.  ELEV.# 3160 FT.  WATERSHED AREA # 258 ACRES.
1118ATL8	110703         	SLIDING ROCK - CR / FRENCH BROAD RIVER / DAVIDSON RIVER                                                                                                                       	US FOREST SERVICE        	North Carolina                	Transylvania                  	 35.304333	-82.7745   	06010105	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	STATION IS LOCATED ON LOOKING GLASS CREEK AT UPSTREAM SIDE OF BRIDGE FOR US ROUTE 276, NEAR MOORE COVE.  CAUTION IS URGED IN INTERPRETING CHEMIC AL PARAMETER DATA BECAUSE ANALYSIS OF SAMPLES, COLLECTED PRIOR TO JAN.,X 1976; WAS ACCOMPLISHED IN THE FIELD USING PORTABLE EQUIPMENT.  DATA REPO RTED FOR THIS STATION PRIOR TO JAN., 1976 WAS OBTAINED FROM SAMPLES COLL ECTED APPROXIMATELY 6000 FT. UPSTREAM.  ELEV.# 2470 FT.  WATERSHED AREA # 4706 ACRES
1118ATL8	110704         	COONTREE - DR / FRENCH BROAD RIVER / DAVIDSON RIVER                                                                                                                           	US FOREST SERVICE        	North Carolina                	Transylvania                  	 35.287361	-82.761417 	06010105	               	              	        	                                                            	112505                                  	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	STATION IS LOCATED 500 FT. DOWNSTREAM OF CONFLUENCE OF DAVIDSON R. AND C OONTREE CR.  CAUTION IS URGED IN INTERPRETING CHEMICAL PARAMETER DATA BE CAUSE ANALYSIS OF SAMPLES, COLLECTED PRIOR TO JAN., 1976; WAS ACCOMPLISH ED IN THE FIELD USING PORTABLE EQUIPMENT.  STATION ORIGINALLY DESIGNATED TO MONITOR IMPACTS OF RECREATION AREA ON COONTREE CR.  ELEV.= 2240 FT.
1118ATL8	110705         	CRADLE - POUNDINGMILL BRANCH, AR / FRENCH BROAD RIVER / DAVIDSON RIVER                                                                                                        	US FOREST SERVICE        	North Carolina                	Transylvania                  	 35.347889	-82.781667 	06010105	               	              	        	                                                            	0801000704                              	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	STATION IS LOCATED IN EXTREME HEADWATERS OF LOOKING GLASS CR. ON AN UNMA PPED TRIBUTARY OF POUNDINGMILL BR.  CAUTION IS URGED IN INTERPRETING THE DATA BECAUSE ANALYSIS OF SAMPLES, COLLECTED PRIOR TO JAN., 1976; FOR CHE MICAL PARAMETERS WAS ACCOMPLISHED IN THE FIELD USING PORTABLE EQUIPMENT. ELEV.= 3240 FT.
1118ATL8	110706         	DAVIDSON RIVER SWIM AREA - FR / FRENCH BROAD RIVER / DAVIDSON RIVER                                                                                                           	US FOREST SERVICE        	North Carolina                	Transylvania                  	 35.285639	-82.732111 	06010105	            036	          3.55	ON      	DAVIDSON R                                                  	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	STATION IS LOCATED ON DAVIDSON RIVER AT FOREST ROAD BRIDGE NEAR ENGLISH CHAPEL.  CAUTION IS URGED IN INTERPRETING CHEMICAL PARAMETER DATA BECAUS E ANALYSIS OF SAMPLES, COLLECTED PRIOR TO JAN., 1976; WAS ACCOMPLISHED I N THE FIELD USING PORTABLE EQUIPMENT.  STATION ORIGINALLY DESIGNATED TO MONITOR SWIM WATER QUALITY.  ELEV.= 2150 FT.
1118ATL8	110707         	COVE CREEK CAMPING AREA - GR / FRENCH BROAD RIVER / DAVIDSON RIVER                                                                                                            	US FOREST SERVICE        	North Carolina                	Transylvania                  	 35.283278	-82.81775  	06010105	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	STATION IS LOCATED ON COVE CREEK JUST UPSTREAM OF DAVIDSON RIVER ROAD BR IDGE.  CAUTION IS URGED IN INTERPRETING CHEMICAL PARAMETER DATA BECAUSE ANALYSIS OF SAMPLES, COLLECTED PRIOR TO JAN.,1976; WAS ACCOMPLISHED IN T HE FIELD USING PORTABLE EQUIPMENT.  STATION ORIGINALLY DESIGNATED TO MON ITOR IMPACTS OF RECREATION AREA.  ELEV.= 2540 FT.
1118ATL8	110708         	BELOW TROUT REARING STATION - AA / FRENCH BROAD RIVER / DAVIDSON RIVER                                                                                                        	US FOREST SERVICE        	North Carolina                	Transylvania                  	    35.287	-82.836833 	06010105	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	STATION IS LOCATED ON DAVIDSON RIVER AT GAGING STATION, APPROXIMATELY 10 00 FT. BELOW OUTFALL FROM THE TROUT REARING STATION.  CAUTION IS URGED I N INTERPRETING CHEMICAL PARAMETER DATA BECAUSE ANALYSIS OF SAMPLES, COLL ECTED PRIOR TO JAN., 1976; WAS ACCOMPLISHED IN THE FIELD USING PORTABLE EQUIPMENT.  ELEV.# 2705 FT.  WATERSHED AREA # 2926 ACRES.
1118ATL8	110709         	BELOW TROUT HATCHERY - BA / FRENCH BROAD RIVER / DAVIDSON RIVER                                                                                                               	US FOREST SERVICE        	North Carolina                	Transylvania                  	 35.284278	-82.792083 	06010105	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	STATION IS LOCATED ON DAVIDSON RIVER AT BRIDGE CROSSING INTO TROUT HATCH ERY, APPROXIMATELY 200 FT. DOWNSTREAM FROM OUTFALL FROM HATCHERY RACEWAY S.  CAUTION IS URGED IN INTERPRETING CHEMICAL PARAMETER DATA BECAUSE ANA LYSIS OF SAMPLES, COLLECTED PRIOR TO JAN., 1976; WAS ACCOMPLISHED IN THE FIELD USING PORTABLE EQUIPMENT.  ELEV.# 2340 FT.  WATERSHED AREA # 7856 ACRES.
1118ATL8	110710         	DAVIDSON R. BELOW JOB CORPS - CA / FRENCH BROAD RIVER / DAVIDSON RIVER                                                                                                        	US FOREST SERVICE        	North Carolina                	Transylvania                  	 35.257667	-82.709194 	06010105	            036	           .43	ON      	DAVIDSON R                                                  	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	STATION IS LOCATED ON DAVIDSON R., APPROXIMATELY 1500 FT. BELOW CONFLUEN CE WITH JOEL BR., WHICH RECEIVES THE EFFLUENT FROM JOB CORPS SEWAGE TREA TMENT PLANT.  CAUTION IS URGED IN INTERPRETING CHEMICAL PARAMETER DATA B ECAUSE ANALYSIS OF SAMPLES, COLLECTED PRIOR TO JAN., 1976; WAS ACCOMPLIS HED IN THE FIELD USING PORTABLE EQUIPMENT.  ELEV.= 2120 FT. WATERSHED AREA # 25778 ACRES.
