
Transylvania, NC
Number of Stations = 96


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00002	HSAMPLOC % FROM   RT BANK 	X-SEC. LOC., HORIZ (% FROM R BANK LOOK UPSTR.)    	20    	224   	1965-01-06	1986-12-03	  1.00E+00  	  9.90E+01  	  4.91E+01
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	1     	11    	1984-08-16	1986-12-03	  1.28E+04  	  9.37E+03  	  1.74E+04
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	42    	752   	1965-01-06	1986-12-03	   .00E+00  	  9.90E+00  	  1.23E+01
00011	WATER    TEMP     FAHN    	TEMPERATURE, WATER (DEGREES FAHRENHEIT)           	14    	277   	1972-06-02	1979-03-26	  3.20E+01  	  6.80E+01  	  5.19E+01
00016	DT FROM  NATURAL  CENT    	TEMP. DIFFERENCE BETWEEN SAMPLE AND UPSTREAM PT.  	1     	1     	1979-09-21	1979-09-21	  4.40E+00  	  4.40E+00  	  4.40E+00
00029	FIELD    IDENT    NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	1     	3     	1987-11-03	1987-11-03	  1.61E+04  	  1.61E+04  	  1.61E+04
00040	WIND     DIRECT   AZIMUTH 	WIND DIRECTION, AZIMUTH                           	4     	8     	1977-07-13	1977-07-13	   .00E+00  	   .00E+00  	   .00E+00
00045	PRECIP   TOT DAY  IN      	PRECIPITATION, TOTAL (INCHES PER DAY)             	6     	3158  	1976-11-11	1981-06-02	   .00E+00  	  8.50E-01  	  7.26E-02
00054	RESVOIR  STORAGE  AC-FT   	RESERVOIR STORAGE - ACRE FEET                     	1     	1     	1977-07-13	1977-07-13	   .00E+00  	   .00E+00  	   .00E+00
00060	STREAM   FLOW     CFS     	FLOW, STREAM, MEAN DAILY                       CFS	13    	202   	1970-01-20	1973-10-30	  1.00E+02  	  9.75E+00  	  3.48E+01
00061	STREAM   FLOW,    INST-CFS	FLOW, STREAM, INSTANTANEOUS                    CFS	8     	72    	1965-01-06	1969-07-17	  1.00E+02  	  9.00E+01  	  3.06E+02
00064	DEPTH OF STREAM   MEAN(FT)	DEPTH OF STREAM, MEAN (FT)                        	4     	13    	1985-03-17	1985-07-07	  5.90E-01  	  8.20E-01  	  6.80E-01
00065	STREAM   STAGE    FEET    	STAGE, STREAM (FEET)                              	3     	5     	1977-07-11	1983-09-22	   .00E+00  	  8.27E+00  	  5.27E+00
00070	TURB     JKSN     JTU     	TURBIDITY, (JACKSON CANDLE UNITS)                 	25    	417   	1965-01-06	1977-04-24	   .00E+00  	  9.70E+01  	  8.27E+00
00075	TURB     HLGE     PPM SIO2	TURBIDITY, HELLIGE (PPM AS SILICON DIOXIDE)       	2     	4     	1983-06-06	1983-09-22	  1.80E+02  	  8.40E+01  	  2.64E+02
00076	TURB     TRBIDMTR HACH FTU	TURBIDITY,HACH TURBIDIMETER (FORMAZIN TURB UNIT)  	5     	2598  	1976-11-11	1981-03-05	   .00E+00  	  9.70E+00  	  2.73E+00
00078	TRANSP   SECCHI   METERS  	TRANSPARENCY, SECCHI DISC (METERS)                	3     	3     	1984-11-29	1984-11-29	  1.40E+00  	  1.65E+00  	  1.53E+00
00080	COLOR    PT-CO    UNITS   	COLOR (PLATINUM-COBALT UNITS)                     	22    	129   	1965-01-06	1986-12-03	  1.00E+02  	  6.00E+01  	  3.05E+01
00081	AP COLOR PT-CO    UNITS   	COLOR,APPARENT(UNFILTERED SAMPLE) PLAT-COB UNITS  	9     	42    	1970-05-21	1986-12-03	   .00E+00  	  8.00E+00  	  1.91E+01
00085	ODOR     THRSH NO RM. TEMP	ODOR (THRESHOLD NUMBER AT ROOM TEMPERATURE)       	7     	43    	1965-01-06	1967-01-24	  1.00E+02  	  8.00E+00  	  1.58E+01
