Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
21NC77WQ	TS02081166     	SCUPPERNONG RIVER AT SR1105 TYRRELL CO / SOUTHEAST / CHOWAN PASQUOTANK                                                                                                        	NC DE&NR                 	North Carolina                	Tyrrell                       	 35.877778	-76.3375                                 	 500000E-4  	 	03010205	00002	1985-05-06	      1330	          	        	         .33	        	                	  	                     	B 	                                                            	
21NC77WQ	TS0208117810   	ALLIGATOR RIVER ABOVE CHERRY RIDGE LANDING / SOUTHEAST / CHOWAN PASQUOTANK                                                                                                    	NC DE&NR                 	North Carolina                	Tyrrell                       	 35.703056	-76.143611                               	 500000E-4  	 	03010205	00002	1985-05-06	      1500	          	        	         .33	        	                	  	                     	B 	                                                            	
21NC77WQ	TSPASPC24      	NW FORK ALLIGATOR RIVER AT NC HWY 94 / SOUTHEAST / CHOWAN PASQUOTANK                                                                                                          	NC DE&NR                 	North Carolina                	Tyrrell                       	 35.721111	-76.194167                               	 500000E-4  	 	03010205	00002	1985-05-06	      1540	          	        	         .33	        	                	  	                     	B 	                                                            	
21NC77WQ	TS02081166     	SCUPPERNONG RIVER AT SR1105 TYRRELL CO / SOUTHEAST / CHOWAN PASQUOTANK                                                                                                        	NC DE&NR                 	North Carolina                	Tyrrell                       	 35.877778	-76.3375                                 	 230000E-4  	 	03010205	00010	1985-05-06	      1330	          	        	         .33	        	                	  	                     	B 	                                                            	
21NC77WQ	TS02081166     	SCUPPERNONG RIVER AT SR1105 TYRRELL CO / SOUTHEAST / CHOWAN PASQUOTANK                                                                                                        	NC DE&NR                 	North Carolina                	Tyrrell                       	 35.877778	-76.3375                                 	 000000E+0  	 	03010205	00032	1985-05-06	      1330	          	        	         .33	        	                	  	                     	B 	                                                            	
21NC77WQ	TS02081166     	SCUPPERNONG RIVER AT SR1105 TYRRELL CO / SOUTHEAST / CHOWAN PASQUOTANK                                                                                                        	NC DE&NR                 	North Carolina                	Tyrrell                       	 35.877778	-76.3375                                 	 270000E-3  	 	03010205	00036	1985-05-06	      1330	          	        	         .33	        	                	  	                     	B 	                                                            	
21NC77WQ	TS02081166     	SCUPPERNONG RIVER AT SR1105 TYRRELL CO / SOUTHEAST / CHOWAN PASQUOTANK                                                                                                        	NC DE&NR                 	North Carolina                	Tyrrell                       	 35.877778	-76.3375                                 	 200000E-5  	 	03010205	00037	1985-05-06	      1330	          	        	         .33	        	                	  	                     	B 	                                                            	
21NC77WQ	TS02081166     	SCUPPERNONG RIVER AT SR1105 TYRRELL CO / SOUTHEAST / CHOWAN PASQUOTANK                                                                                                        	NC DE&NR                 	North Carolina                	Tyrrell                       	 35.877778	-76.3375                                 	 000000E+0  	 	03010205	00045	1985-05-06	      1330	          	        	         .33	        	                	  	                     	B 	                                                            	
21NC77WQ	TS02081166     	SCUPPERNONG RIVER AT SR1105 TYRRELL CO / SOUTHEAST / CHOWAN PASQUOTANK                                                                                                        	NC DE&NR                 	North Carolina                	Tyrrell                       	 35.877778	-76.3375                                 	 440000E-5  	 	03010205	00076	1985-05-06	      1330	          	        	         .33	        	                	  	                     	B 	                                                            	
