Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
12OWNIRS	NC0489101      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Tyrrell                       	     35.95	-76.283333 	03010205	               	              	        	                                                            	none                                    	/TYPA/MUN/INPLNT/INTAKE/NONAMB/PIPE/DISTR                        	           43	FEET                	 	 	none
21NC37GW	TY1027         	COLUMBIA / SOUTHEAST / CHOWAN                                                                                                                                                 	NC DE&NR                 	North Carolina                	Tyrrell                       	 35.923333	-76.196667 	03010205	               	              	        	                                                            	I10Y3,100TY1027                         	/TYPA/AMBNT/WELL                                                 	          126	FEET                	 	G	none
21NC37GW	TY1032         	COLUMBIA / SOUTHEAST / CHOWAN                                                                                                                                                 	NC DE&NR                 	North Carolina                	Tyrrell                       	 35.962222	-76.249444 	03010205	               	              	        	                                                            	I10O4,100TY1032                         	/TYPA/AMBNT/WELL                                                 	           12	FEET                	 	G	none
21NC37GW	TY1145         	NEWLANDS RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                     	NC DE&NR                 	North Carolina                	Tyrrell                       	 35.850833	-76.265361 	03010205	               	              	        	                                                            	J11V3                                   	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
21NC37GW	TY1146         	NEWLANDS RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                     	NC DE&NR                 	North Carolina                	Tyrrell                       	 35.850833	-76.265278 	03010205	               	              	        	                                                            	J11V4,100TY1146                         	/TYPA/AMBNT/WELL                                                 	          580	FEET                	 	G	none
21NC37GW	TY1157         	NEWLANDS RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                     	NC DE&NR                 	North Carolina                	Tyrrell                       	 35.850833	-76.265278 	03010205	               	              	        	                                                            	J11V5,100TY1157                         	/TYPA/AMBNT/WELL                                                 	          999	FEET                	 	G	none
21NC37GW	TY1158         	NEWLANDS RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                     	NC DE&NR                 	North Carolina                	Tyrrell                       	 35.850889	-76.265306 	03010205	               	              	        	                                                            	J11V6A                                  	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
21NC37GW	TY1159         	NEWLANDS RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUORANK                                                                                                                     	NC DE&NR                 	North Carolina                	Tyrrell                       	 35.850833	-76.265472 	03010205	               	              	        	                                                            	J11V7                                   	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
21NC37GW	TY1160         	NEWLANDS RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                     	NC DE&NR                 	North Carolina                	Tyrrell                       	 35.850833	-76.265278 	03010205	               	              	        	                                                            	J11V6,100TY1160                         	/TYPA/AMBNT/WELL                                                 	          189	FEET                	 	G	none
