
Tyrrell, NC
Number of Stations = 28


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00002	HSAMPLOC % FROM   RT BANK 	X-SEC. LOC., HORIZ (% FROM R BANK LOOK UPSTR.)    	3     	3     	1985-05-06	1985-05-06	  5.00E+01  	  5.00E+01  	  5.00E+01
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	1     	1     	1985-05-06	1985-05-06	  2.30E+01  	  2.30E+01  	  2.30E+01
00032	CLOUD    COVER    PERCENT 	CLOUD COVER (PERCENT)                             	1     	1     	1985-05-06	1985-05-06	   .00E+00  	   .00E+00  	   .00E+00
00036	WIND     DIR.FROM NORTH-0 	WIND DIRECTION IN DEGREES FROM TRUE N (CLOCKWISE) 	1     	1     	1985-05-06	1985-05-06	  2.70E+02  	  2.70E+02  	  2.70E+02
00037	WIND     FORCE    BEAUFORT	WIND FORCE (BEAUFORT UNITS)                       	1     	1     	1985-05-06	1985-05-06	  2.00E+00  	  2.00E+00  	  2.00E+00
00045	PRECIP   TOT DAY  IN      	PRECIPITATION, TOTAL (INCHES PER DAY)             	1     	1     	1985-05-06	1985-05-06	   .00E+00  	   .00E+00  	   .00E+00
00076	TURB     TRBIDMTR HACH FTU	TURBIDITY,HACH TURBIDIMETER (FORMAZIN TURB UNIT)  	1     	1     	1985-05-06	1985-05-06	  4.40E+00  	  4.40E+00  	  4.40E+00
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	5     	9     	1974-04-11	1985-05-06	  1.20E+04  	  7.80E+03  	  9.13E+03
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	1     	1     	1985-05-06	1985-05-06	  5.20E+00  	  5.20E+00  	  5.20E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	1     	1     	1985-05-06	1985-05-06	  5.98E+01  	  5.98E+01  	  5.98E+01
