Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
1114PEST	370146A        	MONROE STP AT MONROE NC TO RICHARDSON CREEK / YADKIN-PEE DEE R BASIN / INFLUENT AT HYDROSEIVES                                                                                	USEPA REGION 4           	North Carolina                	Union                         	 34.985556	-80.543333                               	 213800E-2  	 	03040105	00008	1980-08-12	      0730	1980-08-13	    0730	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370146A        	MONROE STP AT MONROE NC TO RICHARDSON CREEK / YADKIN-PEE DEE R BASIN / INFLUENT AT HYDROSEIVES                                                                                	USEPA REGION 4           	North Carolina                	Union                         	 34.985556	-80.543333                               	 216500E-2  	 	03040105	00008	1980-08-13	      0820	1980-08-14	    0820	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370146B        	MONROE STP AT MONROE NC TO RICHARDSON CREEK / YADKIN-PEE DEE R BASIN / EFFLUENT                                                                                               	USEPA REGION 4           	North Carolina                	Union                         	 34.985556	-80.543333                               	 214000E-2  	 	03040105	00008	1980-08-12	      1415	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370146B        	MONROE STP AT MONROE NC TO RICHARDSON CREEK / YADKIN-PEE DEE R BASIN / EFFLUENT                                                                                               	USEPA REGION 4           	North Carolina                	Union                         	 34.985556	-80.543333                               	 215500E-2  	 	03040105	00008	1980-08-13	      0845	1980-08-13	    2245	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370146B        	MONROE STP AT MONROE NC TO RICHARDSON CREEK / YADKIN-PEE DEE R BASIN / EFFLUENT                                                                                               	USEPA REGION 4           	North Carolina                	Union                         	 34.985556	-80.543333                               	 213900E-2  	 	03040105	00008	1980-08-13	      0740	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370146B        	MONROE STP AT MONROE NC TO RICHARDSON CREEK / YADKIN-PEE DEE R BASIN / EFFLUENT                                                                                               	USEPA REGION 4           	North Carolina                	Union                         	 34.985556	-80.543333                               	 215600E-2  	 	03040105	00008	1980-08-13	      1131	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370146C        	MONROE STP AT MONROE NC TO RICHARDSON CREEK / YADKIN-PEE DEE R BASIN / DRYING BED SLUDGE                                                                                      	USEPA REGION 4           	North Carolina                	Union                         	 34.985556	-80.543333                               	 215400E-2  	 	03040105	00008	1980-08-12	      1345	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370146C        	MONROE STP AT MONROE NC TO RICHARDSON CREEK / YADKIN-PEE DEE R BASIN / DRYING BED SLUDGE                                                                                      	USEPA REGION 4           	North Carolina                	Union                         	 34.985556	-80.543333                               	 241400E-2  	 	03040105	00008	1981-08-25	      1300	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370146B        	MONROE STP AT MONROE NC TO RICHARDSON CREEK / YADKIN-PEE DEE R BASIN / EFFLUENT                                                                                               	USEPA REGION 4           	North Carolina                	Union                         	 34.985556	-80.543333                               	 290000E-4  	 	03040105	00010	1980-08-12	      1415	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370146B        	MONROE STP AT MONROE NC TO RICHARDSON CREEK / YADKIN-PEE DEE R BASIN / EFFLUENT                                                                                               	USEPA REGION 4           	North Carolina                	Union                         	 34.985556	-80.543333                               	 290000E-4  	 	03040105	00010	1980-08-13	      1131	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q8342000       	Clear Creek @ US 601 near Brief /  /                                                                                                                                          	DEPT HEALTH NATURAL RES  	North Carolina                	Union                         	 35.211111	-80.545833                               	 210000E-4  	 	03040105	00010	1998-06-02	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q8342000       	Clear Creek @ US 601 near Brief /  /                                                                                                                                          	DEPT HEALTH NATURAL RES  	North Carolina                	Union                         	 35.211111	-80.545833                               	 210000E-4  	 	03040105	00010	1998-06-11	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q8342000       	Clear Creek @ US 601 near Brief /  /                                                                                                                                          	DEPT HEALTH NATURAL RES  	North Carolina                	Union                         	 35.211111	-80.545833                               	 240000E-4  	 	03040105	00010	1998-06-18	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q8342000       	Clear Creek @ US 601 near Brief /  /                                                                                                                                          	DEPT HEALTH NATURAL RES  	North Carolina                	Union                         	 35.211111	-80.545833                               	 250000E-4  	 	03040105	00010	1998-06-25	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q8342000       	Clear Creek @ US 601 near Brief /  /                                                                                                                                          	DEPT HEALTH NATURAL RES  	North Carolina                	Union                         	 35.211111	-80.545833                               	 250000E-4  	 	03040105	00010	1998-07-02	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q8342000       	Clear Creek @ US 601 near Brief /  /                                                                                                                                          	DEPT HEALTH NATURAL RES  	North Carolina                	Union                         	 35.211111	-80.545833                               	 260000E-4  	 	03040105	00010	1998-07-10	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q8342000       	Clear Creek @ US 601 near Brief /  /                                                                                                                                          	DEPT HEALTH NATURAL RES  	North Carolina                	Union                         	 35.211111	-80.545833                               	 230000E-4  	 	03040105	00010	1998-07-15	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q8342000       	Clear Creek @ US 601 near Brief /  /                                                                                                                                          	DEPT HEALTH NATURAL RES  	North Carolina                	Union                         	 35.211111	-80.545833                               	 260000E-4  	 	03040105	00010	1998-07-22	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q8342000       	Clear Creek @ US 601 near Brief /  /                                                                                                                                          	DEPT HEALTH NATURAL RES  	North Carolina                	Union                         	 35.211111	-80.545833                               	 240000E-4  	 	03040105	00010	1998-07-29	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q8342000       	Clear Creek @ US 601 near Brief /  /                                                                                                                                          	DEPT HEALTH NATURAL RES  	North Carolina                	Union                         	 35.211111	-80.545833                               	 205000E-4  	 	03040105	00010	1998-08-04	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q8342000       	Clear Creek @ US 601 near Brief /  /                                                                                                                                          	DEPT HEALTH NATURAL RES  	North Carolina                	Union                         	 35.211111	-80.545833                               	 245000E-4  	 	03040105	00010	1998-08-12	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q8342000       	Clear Creek @ US 601 near Brief /  /                                                                                                                                          	DEPT HEALTH NATURAL RES  	North Carolina                	Union                         	 35.211111	-80.545833                               	 245000E-4  	 	03040105	00010	1998-08-19	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q8342000       	Clear Creek @ US 601 near Brief /  /                                                                                                                                          	DEPT HEALTH NATURAL RES  	North Carolina                	Union                         	 35.211111	-80.545833                               	 230000E-4  	 	03040105	00010	1998-08-26	      2500	          	        	            	        	                	  	                     	B 	                                                            	
