Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1114PEST	370146A        	MONROE STP AT MONROE NC TO RICHARDSON CREEK / YADKIN-PEE DEE R BASIN / INFLUENT AT HYDROSEIVES                                                                                	USEPA REGION 4           	North Carolina                	Union                         	 34.985556	-80.543333 	03040105	            036	         23.87	OFF     	RICHARDSON CR                                               	NC0024333 A,MR-I     MON                	/TYPA/MUN/NTRTMT/INTAKE/NONAMB/PIPE                              	            0	FEET                	 	 	none
1114PEST	370146B        	MONROE STP AT MONROE NC TO RICHARDSON CREEK / YADKIN-PEE DEE R BASIN / EFFLUENT                                                                                               	USEPA REGION 4           	North Carolina                	Union                         	 34.985556	-80.543333 	03040105	            036	         23.99	OFF     	RICHARDSON CR                                               	NC0024333 B,MR-E     MON                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
1114PEST	370146C        	MONROE STP AT MONROE NC TO RICHARDSON CREEK / YADKIN-PEE DEE R BASIN / DRYING BED SLUDGE                                                                                      	USEPA REGION 4           	North Carolina                	Union                         	 34.985556	-80.543333 	03040105	            036	         23.99	OFF     	RICHARDSON CR                                               	NC0024333 C,MR-DBS   MON                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE/SOLIDS                        	            0	FEET                	 	 	none
21NC37GW	UN1170         	INDIAN TRAIL / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                     	NC DE&NR                 	North Carolina                	Union                         	 35.069444	-80.680556 	03050103	               	              	        	                                                            	T64A2,100UN1170                         	/TYPA/AMBNT/WELL                                                 	           32	FEET                	 	G	INDIAN TRAIL MRS. DONA CUNNINGHAM INDIAN TRAIL, NORTH CAROLINA C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH WATER LEVEL MONITORING NETWORK SINCE 1973 MEASURED MONTHLY AQUIFER WT S. OF INDIAN TRAIL (SR 1009)
21NC37GW	UN1307         	MONROE / SOUTHEAST / CATAWBA                                                                                                                                                  	NC DE&NR                 	North Carolina                	Union                         	 35.044444	-80.644444 	03040105	               	              	        	                                                            	T63N1,100UN1307                         	/TYPA/AMBNT/WELL                                                 	          179	FEET                	 	G	MONROE UNION COUNTY BOARD OF EDUCATION MONROE, NORTH CAROLINA C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH WATER LEVEL MONITORING NETWORK SINCE 1971 MEASURED SEMI-ANNUAL AQUIFER AR 1.2 MILE W. OF US 74 ON SR 1377 AT SUN VALLEY HIGH SCHOOL
21NC37GW	UN1308         	MONROE / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                           	NC DE&NR                 	North Carolina                	Union                         	 34.986111	-80.502778 	03040105	               	              	        	                                                            	U62A1,100UN1308                         	/TYPA/AMBNT/WELL                                                 	          230	FEET                	 	G	MONROE TOWN OF MONROE MONROE, NORTH CAROLINA C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH WATER LEVEL MONITORING NETWORK SINCE 1970 MEASURED MONTHLY AQUIFER AR 1.7 MILES EAST OF US 74 ON CUTHBERTSON ROAD
21NC37GW	UN2916         	WAXHAW / SOUTHEAST / CATAWBA                                                                                                                                                  	NC DE&NR                 	North Carolina                	Union                         	 34.971111	-80.805    	03050103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          250	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	UN2917         	MATTHEWS / SOUTHEAST / CATAWBA                                                                                                                                                	NC DE&NR                 	North Carolina                	Union                         	     35.05	-80.716667 	03050103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          400	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	UN2918         	MATTHEWS / SOUTHEAST / CATAWBA                                                                                                                                                	NC DE&NR                 	North Carolina                	Union                         	     35.05	-80.733333 	03050103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          500	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
