
Union, NC
Number of Stations = 33


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	3     	8     	1980-08-12	1981-08-25	  2.14E+03  	  2.41E+03  	  2.18E+03
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	12    	191   	1980-08-12	1998-12-22	  1.05E+01  	  9.00E+00  	  2.19E+01
00026	TOXICS   EPA IDEN FY      	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE  	3     	8     	1980-08-12	1981-08-25	  1.98E+03  	  1.98E+03  	  1.98E+03
00076	TURB     TRBIDMTR HACH FTU	TURBIDITY,HACH TURBIDIMETER (FORMAZIN TURB UNIT)  	11    	77    	1998-06-02	1998-12-22	  1.01E+01  	  9.50E+00  	  1.94E+01
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	11    	99    	1998-06-02	1998-12-22	  1.00E+02  	  9.66E+01  	  2.69E+02
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	11    	189   	1998-06-02	1998-12-22	  1.02E+01  	  9.90E+00  	  6.99E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	11    	189   	1998-06-02	1998-12-22	  1.00E+02  	  9.88E+01  	  7.79E+01
00310	BOD      5 DAY    MG/L    	BOD, 5 DAY, 20 DEG C                          MG/L	2     	4     	1980-08-12	1980-08-13	  2.40E+02  	  9.40E+00  	  1.49E+02
00400	PH        SU              	PH (STANDARD UNITS)                               	12    	101   	1980-08-12	1998-12-22	  5.88E+00  	  8.15E+00  	  7.34E+00
00530	RESIDUE  TOT NFLT MG/L    	RESIDUE, TOTAL NONFILTRABLE (MG/L)                	3     	11    	1980-08-12	1998-12-21	  1.00E+01  	  7.50E+00  	  6.20E+01
00610	NH3+NH4- N TOTAL  MG/L    	NITROGEN, AMMONIA, TOTAL (MG/L AS N)              	5     	25    	1980-08-12	1998-12-21	  1.00E-01  	  6.00E-01  	  1.47E+00
00612	UN-IONZD NH3-N    MG/L    	AMMONIA, UNIONZED                      (MG/L AS N)	3     	21    	1998-06-02	1998-12-21	  1.02E-03  	  9.01E-04  	  9.64E-04
00619	UN-IONZD NH3-NH3  MG/L    	AMMONIA, UNIONIZED (CALC FR TEMP-PH-NH4)  (MG/L)  	3     	21    	1998-06-02	1998-12-21	  1.01E-03  	  9.68E-04  	  1.17E-03
00625	TOT KJEL N        MG/L    	NITROGEN, KJELDAHL, TOTAL, (MG/L AS N)            	5     	22    	1980-08-12	1998-11-17	  1.00E+00  	  8.70E-01  	  3.88E+00
00630	NO2&NO3  N-TOTAL  MG/L    	NITRITE PLUS NITRATE, TOTAL 1 DET. (MG/L AS N)    	5     	25    	1980-08-12	1998-12-21	  1.00E+01  	  6.90E+00  	  4.35E+00
00665	PHOS-TOT  MG/L P          	PHOSPHORUS, TOTAL (MG/L AS P)                     	5     	25    	1980-08-12	1998-12-21	  1.00E-01  	  7.40E-01  	  2.02E+00
00916	CALCIUM  CA-TOT   MG/L    	CALCIUM, TOTAL (MG/L AS CA)                       	2     	2     	1980-08-12	1980-08-13	  3.10E+01  	  5.80E+01  	  4.45E+01
00917	CA MUD   DRY WGT  MG/KG-CA	CALCIUM IN BOTTOM DEPOSITS (MG/KG AS CA DRY WGT)  	1     	2     	1980-08-12	1981-08-25	  1.76E+04  	  2.28E+04  	  2.02E+04
00924	MG MUD   DRY WGT  MG/KG-MG	MAGNESIUM IN BOTTOM DEPOS. (MG/KG AS MG DRY WGT)  	1     	2     	1980-08-12	1981-08-25	  3.30E+03  	  4.15E+03  	  3.73E+03
00927	MGNSIUM  MG,TOT   MG/L    	MAGNESIUM, TOTAL (MG/L AS MG)                     	2     	2     	1980-08-12	1980-08-13	  5.00E+00  	  7.00E+00  	  6.00E+00
00929	SODIUM   NA,TOT   MG/L    	SODIUM, TOTAL (MG/L AS NA)                        	2     	2     	1980-08-12	1980-08-13	  8.50E+01  	  9.40E+01  	  8.95E+01
00934	NA MUD   DRY WGT  MG/KG-NA	SODIUM IN BOTTOM DEPOSITS (MG/KG AS NA DRY WGT)   	1     	2     	1980-08-12	1981-08-25	  1.30E+03  	  1.31E+03  	  1.31E+03
01002	ARSENIC  AS,TOT   UG/L    	ARSENIC, TOTAL (UG/L AS AS)                       	3     	9     	1980-08-12	1998-12-21	  2.50E+01  	  7.40E-03  	  8.34E+00
01003	ARSENIC  SEDMG/KG DRY WGT 	ARSENIC IN BOTTOM DEPOSITS (MG/KG AS AS DRY WGT)  	1     	2     	1980-08-12	1981-08-25	  1.00E+01  	  2.30E+01  	  1.65E+01
01007	BARIUM   BA,TOT   UG/L    	BARIUM, TOTAL (UG/L AS BA)                        	2     	2     	1980-08-12	1980-08-13	  2.00E+01  	  7.20E+01  	  4.60E+01
01008	BA MUD   DRY WGT  MG/KG-BA	BARIUM IN BOTTOM DEPOSITS (MG/KG AS BA DRY WGT)   	1     	2     	1980-08-12	1981-08-25	  4.54E+02  	  6.13E+02  	  5.34E+02
01012	BERYLIUM BE,TOT   UG/L    	BERYLLIUM, TOTAL (UG/L AS BE)                     	2     	2     	1980-08-12	1980-08-13	  1.00E+01  	  2.00E+01  	  1.50E+01
01013	BERYLIUM SEDMG/KG DRY WGT 	BERYLLIUM IN BOTTOM DEPOSITS(MG/KG AS BE DRY WGT) 	1     	2     	1980-08-12	1981-08-25	  1.00E+01  	  3.00E+00  	  6.50E+00
01027	CADMIUM  CD,TOT   UG/L    	CADMIUM, TOTAL (UG/L AS CD)                       	3     	9     	1980-08-12	1998-12-21	  1.00E+01  	  2.00E+01  	  3.33E+00
01028	CD MUD   DRY WGT  MG/KG-CD	CADMIUM,TOTAL IN BOTTOM DEPOSITS (MG/KG,DRY WGT)  	1     	2     	1980-08-12	1981-08-25	  1.10E+01  	  8.00E+00  	  9.50E+00
01029	CHROMIUM SEDMG/KG DRY WGT 	CHROMIUM,TOTAL IN BOTTOM DEPOSITS (MG/KG,DRY WGT) 	1     	2     	1980-08-12	1981-08-25	  1.24E+03  	  4.58E+02  	  8.51E+02
01034	CHROMIUM CR,TOT   UG/L    	CHROMIUM, TOTAL (UG/L AS CR)                      	3     	9     	1980-08-12	1998-12-21	  1.00E-02  	  2.72E+03  	  3.04E+02
