Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
11EPALES	510602         	JOHN H. KERR RESERVOIR /  /                                                                                                                                                   	USEPA                    	North Carolina                	Vance                         	 36.454167	-78.381944                               	 690400E-2  	 	03010102	00008	1973-04-07	      1045	          	        	          60	        	                	  	                     	B 	                                                            	
11EPALES	510602         	JOHN H. KERR RESERVOIR /  /                                                                                                                                                   	USEPA                    	North Carolina                	Vance                         	 36.454167	-78.381944                               	 690300E-2  	 	03010102	00008	1973-04-07	      1045	          	        	          40	        	                	  	                     	B 	                                                            	
11EPALES	510602         	JOHN H. KERR RESERVOIR /  /                                                                                                                                                   	USEPA                    	North Carolina                	Vance                         	 36.454167	-78.381944                               	 690100E-2  	 	03010102	00008	1973-04-07	      1045	          	        	           4	        	                	  	                     	B 	                                                            	
11EPALES	510602         	JOHN H. KERR RESERVOIR /  /                                                                                                                                                   	USEPA                    	North Carolina                	Vance                         	 36.454167	-78.381944                               	 690200E-2  	 	03010102	00008	1973-04-07	      1045	          	        	          15	        	                	  	                     	B 	                                                            	
11EPALES	510602         	JOHN H. KERR RESERVOIR /  /                                                                                                                                                   	USEPA                    	North Carolina                	Vance                         	 36.454167	-78.381944                               	 690000E-2  	 	03010102	00008	1973-04-07	      1045	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	510602         	JOHN H. KERR RESERVOIR /  /                                                                                                                                                   	USEPA                    	North Carolina                	Vance                         	 36.454167	-78.381944                               	 106300E-1  	 	03010102	00008	1973-07-13	      1455	          	        	          30	        	                	  	                     	B 	                                                            	
11EPALES	510602         	JOHN H. KERR RESERVOIR /  /                                                                                                                                                   	USEPA                    	North Carolina                	Vance                         	 36.454167	-78.381944                               	 106290E-1  	 	03010102	00008	1973-07-13	      1455	          	        	          16	        	                	  	                     	B 	                                                            	
11EPALES	510602         	JOHN H. KERR RESERVOIR /  /                                                                                                                                                   	USEPA                    	North Carolina                	Vance                         	 36.454167	-78.381944                               	 106280E-1  	 	03010102	00008	1973-07-13	      1455	          	        	          10	        	                	  	                     	B 	                                                            	
11EPALES	510602         	JOHN H. KERR RESERVOIR /  /                                                                                                                                                   	USEPA                    	North Carolina                	Vance                         	 36.454167	-78.381944                               	 106270E-1  	 	03010102	00008	1973-07-13	      1455	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	510602         	JOHN H. KERR RESERVOIR /  /                                                                                                                                                   	USEPA                    	North Carolina                	Vance                         	 36.454167	-78.381944                               	 106870E-1  	 	03010102	00008	1973-07-13	      1455	          	        	          43	        	                	  	                     	B 	                                                            	
11EPALES	510602         	JOHN H. KERR RESERVOIR /  /                                                                                                                                                   	USEPA                    	North Carolina                	Vance                         	 36.454167	-78.381944                               	 145410E-1  	 	03010102	00008	1973-09-26	      1015	          	        	          40	        	                	  	                     	B 	                                                            	
