Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
11EPALES	510602         	JOHN H. KERR RESERVOIR /  /                                                                                                                                                   	USEPA                    	North Carolina                	Vance                         	 36.454167	-78.381944 	03010102	            011	         41.13	OFF     	JOHN H KERR RES                                             	none                                    	/TYPA/AMBNT/LAKE                                                 	           65	FEET                	S	 	NUTBUSH CREEK AREA, JUST EAST OF LARGE PENINSULA ORIGINATING FROM THE SOUTH; MID-CHANNEL NEAR BUOY H PAINTED WHITE WITH RED TRIM. NC SITE. COMMENTS: 4-7, ULE 18, WATER IS FAIRLY CLEAR WITHOUT ANY DISCOLORATION AND VISIBLE ALGAE. 7-13, ULE 15, 1 PERCENT LIGHT AT 16 FT; 2.4 PERCENT LIGHT REFLECTED AT SURFACE; WATER IS CLEAR TO SLIGHTLY TURBID ABOUT SAME AS SITE 3 W/O VISIBLE ALGAE OR LARGER AQUATIC WEEDS; DEPTH 45 FT. 9-26 ULE 15 CLEAR OLIVE GREEN; NO VISIBLE ALGAE OR MACROPHYTES; THICK DK 100% OVERCAST, VERY WINDY W/WHITECAPS, ALSO HAZY; DEPTH 43 FT. USGS MAP:GREENSBORO 1:250000
21NC37GW	VA2123         	HENDERSON / SOUTHEAST / TAR                                                                                                                                                   	NC DE&NR                 	North Carolina                	Vance                         	 36.333333	-78.416667 	03010102	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          200	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	VA2124         	HENDERSON / SOUTHEAST / TAR                                                                                                                                                   	NC DE&NR                 	North Carolina                	Vance                         	 36.416667	-78.416667 	03010102	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	VA2125         	KITTRELL / SOUTHEAST / TAR                                                                                                                                                    	NC DE&NR                 	North Carolina                	Vance                         	     36.25	-78.4      	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          105	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	VA2126         	HENDERSON / SOUTHEAST / ROANOKE                                                                                                                                               	NC DE&NR                 	North Carolina                	Vance                         	     36.35	-78.483333 	03010102	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          200	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	VA2127         	HENDERSON / SOUTHEAST / TAR                                                                                                                                                   	NC DE&NR                 	North Carolina                	Vance                         	 36.316667	-78.483333 	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          102	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	VA2128         	HENDERSON / SOUTHEAST / ROANOKE                                                                                                                                               	NC DE&NR                 	North Carolina                	Vance                         	     36.35	-78.483333 	03010102	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          122	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	VA2130         	HENDERSON / SOUTHEAST / ROANOKE                                                                                                                                               	NC DE&NR                 	North Carolina                	Vance                         	      36.4	-78.383333 	03010102	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          260	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	VA2131         	HENDERSON / SOUTHEAST / TAR                                                                                                                                                   	NC DE&NR                 	North Carolina                	Vance                         	     36.25	-78.35     	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          122	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
