Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1113MONA	370011         	NEUSE R - US HWY 50 / QUAD - CREEDMOOR    15 / NEUSE RIVER BASIN        MONITOR STATION                                                                                       	USEPA REGION 4           	North Carolina                	Wake                          	 36.014444	-78.691667 	03020201	               	              	        	                                                            	NEU-11                                  	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	LOCATED UPSTREAM OF NEUSE RIVER BASIN AT GAGING STATION SOUTH OF CREEDMOOR, NC AT BRIDGE ON US HWY 50. THIS STATION BEGAN OPERATION APRIL, 1975.  OPERATED JOINTLY BY EPA, TRIANGLE J COUNCIL OF GOVERNMENTS, AND USGS.
1113MONA	370012         	NEUSE R - US HWY 98 / QUAD - RALEIGH      15 / NEUSE RIVER BASIN        MONITOR STATION                                                                                       	USEPA REGION 4           	North Carolina                	Wake                          	 35.977778	-78.633333 	03020201	            020	           .41	OFF     	NEUSE R                                                     	NEU-12                                  	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	LOCATED UPSTREAM OF NEUSE RIVER BASIN AT GAGING STATION NORTH OF RALEIGH, NC AT BRIDGE ON US HWY 98. THIS STATION BEGAN OPERATION APRIL, 1975.  OPERATED JOINTLY BY EPA, TRIANGLE J COUNCIL OF GOVERNMENTS, AND USGS.
1114PEST	370066A        	NEUSE RIVER STP AT RALEIGH NC TO NEUSE RIVER / NEUSE RIVER BASIN / INFLUENT - RAW  PRIOR TO SCREW PUMPS                                                                       	USEPA REGION 4           	North Carolina                	Wake                          	 35.771667	-78.633333 	03020201	               	              	        	                                                            	NC0029033 A,NR-INF   NEU                	/TYPA/MUN/NTRTMT/INTAKE/NONAMB/PIPE                              	            0	FEET                	 	 	none
1114PEST	370066B        	NEUSE RIVER STP AT RALEIGH NC TO NEUSE RIVER / NEUSE RIVER BASIN / INFLUENT - PH ADJUSTED                                                                                     	USEPA REGION 4           	North Carolina                	Wake                          	 35.771667	-78.633333 	03020201	               	              	        	                                                            	NC0029033 B,NR-IR    NEU                	/TYPA/MUN/NTRTMT/INTAKE/NONAMB/PIPE                              	            0	FEET                	 	 	none
1114PEST	370066C        	NEUSE RIVER STP AT RALEIGH NC TO NEUSE RIVER / NEUSE RIVER BASIN / EFFLUENT -CLARIFIER - PRIOR TO MIXED MED                                                                   	USEPA REGION 4           	North Carolina                	Wake                          	 35.771667	-78.633333 	03020201	               	              	        	                                                            	NC0029033 C,NR-CE    NEU                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
1114PEST	370066D        	NEUSE RIVER STP AT RALEIGH NC TO NEUSE RIVER / NEUSE RIVER BASIN / EFFLUENT-FINAL-@ DISCHG FROM CL2 BASIN                                                                     	USEPA REGION 4           	North Carolina                	Wake                          	 35.771667	-78.633333 	03020201	               	              	        	                                                            	NC0029033 D,NR-001   NEU                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
1114PEST	370066E        	NEUSE RIVER STP AT RALEIGH NC TO NEUSE RIVER / NEUSE RIVER BASIN / DEWATERED SLUDGE CAKE LEAVING CENTRIFUGE                                                                   	USEPA REGION 4           	North Carolina                	Wake                          	 35.771667	-78.633333 	03020201	               	              	        	                                                            	NC0029033 E,NR-CS    NEU                	/TYPA/MUN/INPLNT/OUTFL/NONAMB/PIPE/SOLIDS                        	            0	FEET                	 	 	none
1114PEST	370154B        	MORRISVILLE AREA HAZARDOUS WASTE SITE / NEUSE RIVER BASIN / KOPPERS CO - POND BEHIND MEDLIN RES.                                                                              	USEPA REGION 4           	North Carolina                	Wake                          	 35.816667	-78.783333 	03020201	               	              	        	                                                            	PL-002   KOP                            	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
1114PEST	370154C        	MORRISVILLE AREA HAZARDOUS WASTE SITE / NEUSE RIVER BASIN / KOPPERS CO - MEDLIN WELL                                                                                          	USEPA REGION 4           	North Carolina                	Wake                          	 35.816667	-78.783333 	03020201	               	              	        	                                                            	PW-100   KOP                            	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
1114PEST	370154D        	MORRISVILLE AREA HAZARDOUS WASTE SITE / NEUSE RIVER BASIN / WILKERSON CONTRACTING CO WELL                                                                                     	USEPA REGION 4           	North Carolina                	Wake                          	 35.816667	-78.783333 	03020201	               	              	        	                                                            	PW-200   KOP                            	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
1114PEST	370154J        	MORRISVILLE AREA HAZARDOUS WASTE SITE / NEUSE RIVER BASIN / PRIVATE WELL OF LEWIS BAERBEE                                                                                     	USEPA REGION 4           	North Carolina                	Wake                          	 35.816667	-78.783333 	03020201	               	              	        	                                                            	PW-300   KOP                            	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
