
Wake, NC
Number of Stations = 455


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00002	HSAMPLOC % FROM   RT BANK 	X-SEC. LOC., HORIZ (% FROM R BANK LOOK UPSTR.)    	3     	10    	1982-02-10	1982-08-12	  5.00E+01  	  5.00E+01  	  5.00E+01
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	13    	38    	1979-06-26	1982-02-11	  1.04E+03  	  6.88E+02  	  1.59E+03
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	32    	6488  	1975-04-12	1998-12-09	   .00E+00  	 -2.00E+00  	  1.84E+01
00011	WATER    TEMP     FAHN    	TEMPERATURE, WATER (DEGREES FAHRENHEIT)           	2     	1086  	1975-04-12	1975-12-31	  3.32E+01  	  8.15E+01  	  6.54E+01
00020	AIR      TEMP     CENT    	TEMPERATURE, AIR (DEGREES CENTIGRADE)             	6     	423   	1981-12-16	1987-06-30	   .00E+00  	 -5.00E-01  	  2.12E+01
00026	TOXICS   EPA IDEN FY      	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE  	10    	32    	1979-06-26	1981-03-19	  1.98E+03  	  1.98E+03  	  1.98E+03
00029	FIELD    IDENT    NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	1     	5     	1987-05-29	1987-05-29	  1.57E+04  	  6.24E+04  	  3.00E+04
00030	INCDT LT SURF     C/SQCM/D	LIGHT, INCIDENT, SUNLIGHT RADIATION INTENSITY     	1     	558   	1975-04-12	1975-12-31	   .00E+00  	  9.95E+01  	  5.05E+02
00060	STREAM   FLOW     CFS     	FLOW, STREAM, MEAN DAILY                       CFS	1     	13    	1981-12-16	1982-11-03	  1.00E+00  	  7.00E+00  	  1.54E+01
00061	STREAM   FLOW,    INST-CFS	FLOW, STREAM, INSTANTANEOUS                    CFS	3     	3     	1982-01-28	1982-01-29	  2.24E+01  	  7.59E+01  	  4.52E+01
00076	TURB     TRBIDMTR HACH FTU	TURBIDITY,HACH TURBIDIMETER (FORMAZIN TURB UNIT)  	10    	711   	1981-12-16	1998-12-07	  1.00E+01  	  9.85E+00  	  1.42E+01
00077	TRANSP   SECCHI   INCHES  	TRANSPARENCY, SECCHI DISC (INCHES)                	5     	414   	1983-07-12	1987-06-30	  1.18E+01  	  7.90E+00  	  2.86E+01
00080	COLOR    PT-CO    UNITS   	COLOR (PLATINUM-COBALT UNITS)                     	6     	40    	1981-12-16	1987-06-16	  1.05E+02  	  8.90E+01  	  8.85E+01
00090	REDOX    ORP      MV      	OXIDATION REDUCTION POTENTIAL (MILLIVOLTS)        	5     	2215  	1983-08-23	1987-06-30	   .00E+00  	 -9.00E+01  	  2.56E+02
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	27    	3254  	1981-12-16	1998-12-09	  1.00E+02  	  9.99E+01  	  1.14E+02
