Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
21NC37GW	WR1354         	WARRENTON / SOUTHEAST / TAR                                                                                                                                                   	NC DE&NR                 	North Carolina                	Warren                        	 36.329167	-78.215556 	03020102	               	              	        	                                                            	E34C2,100WR1354                         	/TYPA/AMBNT/WELL                                                 	           33	FEET                	 	G	GROUNDWATER MONITORING NETWORK SINCE 1975 AQUIFER WT
21NC37GW	WR1651         	WARRENTON / SOUTHEAST / TAR                                                                                                                                                   	NC DE&NR                 	North Carolina                	Warren                        	 36.383333	-78.2      	03020102	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          122	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WR1653         	MACON / SOUTHEAST / ROANOKE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Warren                        	 36.530556	-77.995833 	03010106	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          160	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WR1654         	WARRENTON / SOUTHEAST / ROANOKE                                                                                                                                               	NC DE&NR                 	North Carolina                	Warren                        	 36.541667	-77.940278 	03010106	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          100	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WR1655         	WARRENTON / SOUTHEAST / ROANOKE                                                                                                                                               	NC DE&NR                 	North Carolina                	Warren                        	 36.416667	-77.916667 	03010106	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          180	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WR1669         	LITTLETON / SOUTHEAST / TAR                                                                                                                                                   	NC DE&NR                 	North Carolina                	Warren                        	    36.425	-77.915278 	03010106	               	              	        	                                                            	C30Y1,100WR1669                         	/TYPA/AMBNT/WELL                                                 	          500	FEET                	 	G	none
21NC37GW	WR1673         	VAUGHAN / SOUTHEAST / TAR                                                                                                                                                     	NC DE&NR                 	North Carolina                	Warren                        	 36.333333	-77.933333 	03020102	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          205	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WR1674         	VAUGHAN / SOUTHEAST / ROANOKE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Warren                        	 36.416667	-78        	03020102	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           62	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WR1675         	GASTON / SOUTHEAST / ROANOKE                                                                                                                                                  	NC DE&NR                 	North Carolina                	Warren                        	     36.45	-77.916667 	03010106	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          270	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WR1676         	LITTLETON / SOUTHEAST / ROANOKE                                                                                                                                               	NC DE&NR                 	North Carolina                	Warren                        	      36.5	-77.916667 	03010106	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          285	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WR1677         	LITTLETON / SOUTHEAST / ROANOKE                                                                                                                                               	NC DE&NR                 	North Carolina                	Warren                        	 36.541667	-77.905556 	03010106	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          305	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WR1678         	WISE / SOUTHEAST / ROANOKE                                                                                                                                                    	NC DE&NR                 	North Carolina                	Warren                        	 36.495833	-78.201389 	03010106	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          165	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WR1679         	MANSON / SOUTHEAST / ROANOKE                                                                                                                                                  	NC DE&NR                 	North Carolina                	Warren                        	 36.516667	-78.3      	03010102	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          305	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WR1680         	LITTLETON / SOUTHEAST / ROANOKE                                                                                                                                               	NC DE&NR                 	North Carolina                	Warren                        	 36.459722	-77.919444 	03010106	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          205	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WR1681         	LITTLETON / SOUTHEAST / ROANOKE                                                                                                                                               	NC DE&NR                 	North Carolina                	Warren                        	 36.533333	-77.933333 	03010106	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           43	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
