
Warren, NC
Number of Stations = 23


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00002	HSAMPLOC % FROM   RT BANK 	X-SEC. LOC., HORIZ (% FROM R BANK LOOK UPSTR.)    	1     	19    	1971-06-18	1973-08-30	  5.00E+01  	  5.00E+01  	  5.00E+01
00005	VSAMPLOC DEPTH    % OF TOT	X-SEC. LOC., VERTICAL (PERCENT OF TOTAL DEPTH)    	1     	19    	1971-06-18	1973-08-30	  5.00E+01  	  5.00E+01  	  5.00E+01
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	1     	19    	1971-06-18	1973-08-30	  1.61E+01  	  3.33E+01  	  2.65E+01
00041	WEATHER  WMO CODE 4501    	WEATHER (WMO CODE 4501)                           	1     	18    	1971-06-18	1973-08-30	  1.00E+00  	  3.00E+00  	  2.44E+00
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	1     	19    	1971-06-18	1973-08-30	  6.20E+00  	  9.20E+00  	  7.97E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	1     	19    	1971-06-18	1973-08-30	  1.01E+02  	  1.00E+02  	  9.81E+01
00400	PH        SU              	PH (STANDARD UNITS)                               	1     	19    	1971-06-18	1973-08-30	  6.70E+00  	  7.80E+00  	  7.27E+00
00610	NH3+NH4- N TOTAL  MG/L    	NITROGEN, AMMONIA, TOTAL (MG/L AS N)              	1     	5     	1971-08-13	1973-08-30	  3.00E-02  	  1.00E-01  	  8.60E-02
00612	UN-IONZD NH3-N    MG/L    	AMMONIA, UNIONZED                      (MG/L AS N)	1     	5     	1971-08-13	1973-08-30	  3.62E-04  	  6.75E-04  	  2.14E-03
00615	NO2-N    TOTAL    MG/L    	NITRITE NITROGEN, TOTAL (MG/L AS N)               	1     	5     	1971-08-13	1973-08-30	  2.00E-02  	  1.00E-02  	  1.20E-02
00619	UN-IONZD NH3-NH3  MG/L    	AMMONIA, UNIONIZED (CALC FR TEMP-PH-NH4)  (MG/L)  	1     	5     	1971-08-13	1973-08-30	  4.40E-04  	  8.20E-04  	  2.60E-03
00620	NO3-N    TOTAL    MG/L    	NITRATE NITROGEN, TOTAL (MG/L AS N)               	1     	5     	1971-08-13	1973-08-30	  1.00E-01  	  1.00E-02  	  2.80E-02
00625	TOT KJEL N        MG/L    	NITROGEN, KJELDAHL, TOTAL, (MG/L AS N)            	1     	5     	1971-08-13	1973-08-30	  2.00E-01  	  6.00E-01  	  4.20E-01
01002	ARSENIC  AS,TOT   UG/L    	ARSENIC, TOTAL (UG/L AS AS)                       	1     	4     	1971-08-13	1973-08-30	   .00E+00  	  1.00E+00  	  1.75E+00
01027	CADMIUM  CD,TOT   UG/L    	CADMIUM, TOTAL (UG/L AS CD)                       	1     	6     	1971-08-13	1973-08-30	  1.00E+01  	  1.00E+00  	  7.00E+00
01034	CHROMIUM CR,TOT   UG/L    	CHROMIUM, TOTAL (UG/L AS CR)                      	1     	8     	1971-08-13	1973-08-30	  1.00E+01  	  1.00E+01  	  1.00E+01
01042	COPPER   CU,TOT   UG/L    	COPPER, TOTAL (UG/L AS CU)                        	1     	8     	1971-08-13	1973-08-30	  1.00E+01  	  1.00E+01  	  1.00E+01
01051	LEAD     PB,TOT   UG/L    	LEAD, TOTAL (UG/L AS PB)                          	1     	7     	1971-08-13	1973-08-30	  1.00E+01  	  1.00E+01  	  1.00E+01
01065	NICKEL   NI,DISS  UG/L    	NICKEL, DISSOLVED (UG/L AS NI)                    	1     	3     	1973-05-10	1973-08-30	  1.00E+02  	  1.00E+02  	  1.00E+02
01092	ZINC     ZN,TOT   UG/L    	ZINC, TOTAL (UG/L AS ZN)                          	1     	8     	1971-08-13	1973-08-30	  3.00E+01  	  1.00E+01  	  1.50E+01
31616	FEC COLI MFM-FCBR /100ML  	FECAL COLIFORM,MEMBR FILTER,M-FC BROTH,44.5 C     	1     	18    	1971-06-18	1973-08-30	  1.00E+02  	  1.50E+04  	  9.28E+02
70505	T PO4    P-COL    MG/L    	PHOSPHATE,TOTAL,COLORIMETRIC METHOD (MG/L AS P)   	1     	5     	1971-08-13	1973-08-30	  1.00E-01  	  1.00E-01  	  1.00E-01
70507	PHOS-T   ORTHO    MG/L P  	PHOSPHORUS,IN TOTAL ORTHOPHOSPHATE (MG/L AS P)    	1     	5     	1971-08-13	1973-08-30	  1.00E-01  	  1.00E-02  	  8.20E-02
71900	MERCURY  HG,TOTAL UG/L    	MERCURY, TOTAL  (UG/L AS HG)                      	1     	8     	1971-08-13	1973-08-30	  5.00E-01  	  5.00E-01  	  5.00E-01
