Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
11BIOACC	3346           	ROANOKE RIVER @ PLYMOUTH /  /                                                                                                                                                 	U.S. EPA MDSD            	North Carolina                	Washington                    	 35.865278	-76.761111 	03010107	               	              	        	                                                            	none                                    	/TYPA/AMBNT/FISH/STREAM                                          	            0	FEET                	S	 	none
11BIOACC	3446           	BIG SANDY RIVER @ CATTLETTSBURG /  /                                                                                                                                          	U.S. EPA MDSD            	North Carolina                	Washington                    	 38.406111	-82.597778 	05070204	               	              	        	                                                            	none                                    	/TYPA/AMBNT/FISH/STREAM                                          	            0	FEET                	S	 	none
21NC37GW	WS1216         	CHERRY / SOUTHEAST / CHOWAN                                                                                                                                                   	NC DE&NR                 	North Carolina                	Washington                    	 35.831389	-76.456944 	03010205	               	              	        	                                                            	K13C3,100WS1216                         	/TYPA/AMBNT/WELL                                                 	           15	FEET                	 	G	none
21NC37GW	WS1331         	SCUPPERNONG RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                  	NC DE&NR                 	North Carolina                	Washington                    	 35.916389	-76.470556 	03010205	               	              	        	                                                            	J13D1,100WS1331                         	/TYPA/AMBNT/WELL                                                 	           60	FEET                	 	G	none
21NC37GW	WS1332         	SCUPPERNONG RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                  	NC DE&NR                 	North Carolina                	Washington                    	 35.916389	-76.470556 	03010205	               	              	        	                                                            	J13D2,100WS1332                         	/TYPA/AMBNT/WELL                                                 	          421	FEET                	 	G	none
21NC37GW	WS1337         	LAKE PHELPS RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                  	NC DE&NR                 	North Carolina                	Washington                    	 35.730833	-76.434722 	03010205	               	              	        	                                                            	L13I1,100WS1337                         	/TYPA/AMBNT/WELL                                                 	          510	FEET                	 	G	none
21NC37GW	WS1339         	LAKE PHELPS RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                  	NC DE&NR                 	North Carolina                	Washington                    	 35.730833	-76.434722 	03010205	               	              	        	                                                            	L13I2,100WS1339                         	/TYPA/AMBNT/WELL                                                 	          120	FEET                	 	G	none
21NC37GW	WS1340         	LAKE PHELPS RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                  	NC DE&NR                 	North Carolina                	Washington                    	 35.730833	-76.434722 	03010205	               	              	        	                                                            	L13I3,100WS1340                         	/TYPA/AMBNT/WELL                                                 	          224	FEET                	 	G	none
21NC37GW	WS1341         	LAKE PHELPS RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                  	NC DE&NR                 	North Carolina                	Washington                    	 35.730833	-76.434722 	03010205	               	              	        	                                                            	L13I4,100WS1341                         	/TYPA/AMBNT/WELL                                                 	           14	FEET                	 	G	none
21NC37GW	WS1355         	SCUPPERNONG RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                  	NC DE&NR                 	North Carolina                	Washington                    	 35.916389	-76.470556 	03010205	               	              	        	                                                            	J13D3,100WS1355                         	/TYPA/AMBNT/WELL                                                 	          999	FEET                	 	G	none
21NC37GW	WS1357         	LAKE PHELPS RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                  	NC DE&NR                 	North Carolina                	Washington                    	 35.730833	-76.434861 	03010205	               	              	        	                                                            	L13I5,100WS1357                         	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
