
Washington, NC
Number of Stations = 47


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00002	HSAMPLOC % FROM   RT BANK 	X-SEC. LOC., HORIZ (% FROM R BANK LOOK UPSTR.)    	1     	1     	1985-05-06	1985-05-06	  5.00E+01  	  5.00E+01  	  5.00E+01
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	2     	2     	1983-06-16	1983-06-16	  2.80E+01  	  2.99E+01  	  2.90E+01
00029	FIELD    IDENT    NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	2     	10    	1987-12-14	1989-07-18	  1.61E+04  	  9.21E+04  	  3.53E+04
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	6     	10    	1977-10-27	1983-06-16	  1.05E+02  	  4.20E+02  	  1.20E+04
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	2     	2     	1983-06-16	1983-06-16	  5.30E+00  	  5.75E+00  	  5.53E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	2     	2     	1983-06-16	1983-06-16	  6.71E+01  	  7.57E+01  	  7.14E+01
00400	PH        SU              	PH (STANDARD UNITS)                               	5     	8     	1977-10-27	1983-06-16	  3.45E+00  	  7.70E+00  	  6.39E+00
00410	T ALK    CACO3    MG/L    	ALKALINITY, TOTAL (MG/L AS CACO3)                 	3     	5     	1977-10-27	1980-06-04	  2.30E+02  	  6.22E+02  	  3.88E+02
00440	HCO3 ION HCO3     MG/L    	BICARBONATE ION (MG/L AS HCO3)                    	2     	3     	1977-10-27	1980-06-04	  2.80E+02  	  2.88E+02  	  2.83E+02
00445	CO3 ION  CO3      MG/L    	CARBONATE ION (MG/L AS CO3)                       	8     	18    	1977-04-26	1980-06-04	  1.00E+00  	  1.00E+00  	  1.00E+00
00623	KJELDL N DISS     MG/L    	NITROGEN, KJELDAHL, DISSOLVED (MG/L AS N)         	1     	2     	1978-04-20	1978-04-20	  6.20E+00  	  6.20E+00  	  6.20E+00
00631	NO2&NO3  N-DISS   MG/L    	NITRITE PLUS NITRATE, DISS. 1 DET. (MG/L AS N)    	9     	20    	1977-04-26	1980-06-04	  3.10E-01  	  5.00E-02  	  1.04E-01
00666	PHOS-DIS  MG/L P          	PHOSPHORUS, DISSOLVED (MG/L AS P)                 	10    	20    	1977-05-10	1980-06-04	  1.00E-01  	  8.00E-02  	  5.80E-02
00900	TOT HARD CACO3    MG/L    	HARDNESS, TOTAL (MG/L AS CACO3)                   	9     	17    	1977-05-10	1980-06-04	  1.70E+02  	  6.00E+02  	  6.69E+02
00902	NC HARD  CACO3    MG/L    	HARDNESS, NON-CARBONATE (MG/L AS CACO3)           	8     	18    	1977-04-26	1980-06-04	  1.00E+00  	  1.80E+03  	  3.94E+02
00915	CALCIUM  CA,DISS  MG/L    	CALCIUM, DISSOLVED (MG/L AS CA)                   	10    	19    	1977-05-10	1980-06-04	  1.00E+03  	  8.60E+01  	  3.01E+02
00925	MGNSIUM  MG,DISS  MG/L    	MAGNESIUM, DISSOLVED (MG/L AS MG)                 	5     	10    	1977-10-27	1980-06-04	  2.20E+00  	  8.00E+02  	  2.28E+02
00930	SODIUM   NA,DISS  MG/L    	SODIUM, DISSOLVED (MG/L AS NA)                    	2     	4     	1977-10-27	1978-06-27	  2.00E+01  	  5.00E+02  	  2.60E+02
00935	PTSSIUM  K,DISS   MG/L    	POTASSIUM, DISSOLVED (MG/L AS K)                  	4     	8     	1977-10-27	1980-06-04	  1.00E+00  	  4.30E+01  	  4.63E+01
00940	CHLORIDE TOTAL    MG/L    	CHLORIDE,TOTAL IN WATER                MG/L       	10    	19    	1977-05-10	1980-06-04	  1.00E+04  	  8.00E+00  	  3.85E+03
