Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
131TVAC 	360092         	N.C. HWY 194 BRIDGE 0.7 MILE NW OF VALLE CRUCIS / HOLSTON RIVER BASIN / WATAUGA RIVER 68.69                                                                                   	TENN VALLEY AUTHORITY    	North Carolina                	Watauga                       	 36.216667	-81.786389                               	 600000E-4  	 	06010103	00002	1967-06-08	      1455	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360092         	N.C. HWY 194 BRIDGE 0.7 MILE NW OF VALLE CRUCIS / HOLSTON RIVER BASIN / WATAUGA RIVER 68.69                                                                                   	TENN VALLEY AUTHORITY    	North Carolina                	Watauga                       	 36.216667	-81.786389                               	 500000E-4  	 	06010103	00002	1967-07-05	      1800	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360092         	N.C. HWY 194 BRIDGE 0.7 MILE NW OF VALLE CRUCIS / HOLSTON RIVER BASIN / WATAUGA RIVER 68.69                                                                                   	TENN VALLEY AUTHORITY    	North Carolina                	Watauga                       	 36.216667	-81.786389                               	 500000E-4  	 	06010103	00002	1967-07-31	      1230	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360092         	N.C. HWY 194 BRIDGE 0.7 MILE NW OF VALLE CRUCIS / HOLSTON RIVER BASIN / WATAUGA RIVER 68.69                                                                                   	TENN VALLEY AUTHORITY    	North Carolina                	Watauga                       	 36.216667	-81.786389                               	 500000E-4  	 	06010103	00002	1967-08-30	      1730	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360092         	N.C. HWY 194 BRIDGE 0.7 MILE NW OF VALLE CRUCIS / HOLSTON RIVER BASIN / WATAUGA RIVER 68.69                                                                                   	TENN VALLEY AUTHORITY    	North Carolina                	Watauga                       	 36.216667	-81.786389                               	 700000E-4  	 	06010103	00002	1967-10-02	      1405	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360092         	N.C. HWY 194 BRIDGE 0.7 MILE NW OF VALLE CRUCIS / HOLSTON RIVER BASIN / WATAUGA RIVER 68.69                                                                                   	TENN VALLEY AUTHORITY    	North Carolina                	Watauga                       	 36.216667	-81.786389                               	 500000E-4  	 	06010103	00002	1967-10-30	      1040	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360092         	N.C. HWY 194 BRIDGE 0.7 MILE NW OF VALLE CRUCIS / HOLSTON RIVER BASIN / WATAUGA RIVER 68.69                                                                                   	TENN VALLEY AUTHORITY    	North Carolina                	Watauga                       	 36.216667	-81.786389                               	 500000E-4  	 	06010103	00002	1968-01-29	      1310	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360092         	N.C. HWY 194 BRIDGE 0.7 MILE NW OF VALLE CRUCIS / HOLSTON RIVER BASIN / WATAUGA RIVER 68.69                                                                                   	TENN VALLEY AUTHORITY    	North Carolina                	Watauga                       	 36.216667	-81.786389                               	 500000E-4  	 	06010103	00002	1968-04-09	      0840	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360093         	BRIDGE 0.65 MILE ABOVE BEECH CREEK / HOLSTON RIVER BASIN / WATAUGA RIVER 58.31                                                                                                	TENN VALLEY AUTHORITY    	North Carolina                	Watauga                       	 36.269167	-81.884444                               	 500000E-4  	 	06010103	00002	1967-06-08	      1630	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360093         	BRIDGE 0.65 MILE ABOVE BEECH CREEK / HOLSTON RIVER BASIN / WATAUGA RIVER 58.31                                                                                                	TENN VALLEY AUTHORITY    	North Carolina                	Watauga                       	 36.269167	-81.884444                               	 500000E-4  	 	06010103	00002	1967-07-05	      1640	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360093         	BRIDGE 0.65 MILE ABOVE BEECH CREEK / HOLSTON RIVER BASIN / WATAUGA RIVER 58.31                                                                                                	TENN VALLEY AUTHORITY    	North Carolina                	Watauga                       	 36.269167	-81.884444                               	 500000E-4  	 	06010103	00002	1967-07-31	      1115	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360093         	BRIDGE 0.65 MILE ABOVE BEECH CREEK / HOLSTON RIVER BASIN / WATAUGA RIVER 58.31                                                                                                	TENN VALLEY AUTHORITY    	North Carolina                	Watauga                       	 36.269167	-81.884444                               	 500000E-4  	 	06010103	00002	1967-08-30	      1615	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360093         	BRIDGE 0.65 MILE ABOVE BEECH CREEK / HOLSTON RIVER BASIN / WATAUGA RIVER 58.31                                                                                                	TENN VALLEY AUTHORITY    	North Carolina                	Watauga                       	 36.269167	-81.884444                               	 500000E-4  	 	06010103	00002	1967-10-02	      1515	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360093         	BRIDGE 0.65 MILE ABOVE BEECH CREEK / HOLSTON RIVER BASIN / WATAUGA RIVER 58.31                                                                                                	TENN VALLEY AUTHORITY    	North Carolina                	Watauga                       	 36.269167	-81.884444                               	 500000E-4  	 	06010103	00002	1967-10-30	      0905	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360093         	BRIDGE 0.65 MILE ABOVE BEECH CREEK / HOLSTON RIVER BASIN / WATAUGA RIVER 58.31                                                                                                	TENN VALLEY AUTHORITY    	North Carolina                	Watauga                       	 36.269167	-81.884444                               	 500000E-4  	 	06010103	00002	1968-01-29	      1400	          	        	           1	        	                	  	                     	B 	                                                            	
