
Watauga, NC
Number of Stations = 178


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00002	HSAMPLOC % FROM   RT BANK 	X-SEC. LOC., HORIZ (% FROM R BANK LOOK UPSTR.)    	5     	115   	1967-06-08	1986-11-25	  5.00E+01  	  9.00E+01  	  5.36E+01
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	2     	13    	1980-04-01	1986-11-25	  1.03E+03  	  9.67E+03  	  1.56E+04
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	12    	142   	1967-06-08	1986-11-25	  1.00E+01  	  9.70E+00  	  1.34E+01
00026	TOXICS   EPA IDEN FY      	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE  	1     	3     	1980-04-01	1980-09-15	  1.98E+03  	  1.98E+03  	  1.98E+03
00061	STREAM   FLOW,    INST-CFS	FLOW, STREAM, INSTANTANEOUS                    CFS	3     	33    	1967-06-07	1970-11-05	  1.05E+02  	  9.50E+01  	  1.13E+02
00064	DEPTH OF STREAM   MEAN(FT)	DEPTH OF STREAM, MEAN (FT)                        	2     	2     	1986-05-07	1986-05-07	  3.30E-01  	  3.30E-01  	  3.30E-01
00070	TURB     JKSN     JTU     	TURBIDITY, (JACKSON CANDLE UNITS)                 	3     	31    	1967-06-08	1970-11-05	  1.00E+01  	  9.00E+00  	  1.33E+01
00078	TRANSP   SECCHI   METERS  	TRANSPARENCY, SECCHI DISC (METERS)                	2     	2     	1984-11-21	1984-11-21	  1.55E+00  	  1.65E+00  	  1.60E+00
00080	COLOR    PT-CO    UNITS   	COLOR (PLATINUM-COBALT UNITS)                     	12    	44    	1967-06-08	1986-11-25	  1.00E+01  	  8.00E+00  	  1.55E+01
00081	AP COLOR PT-CO    UNITS   	COLOR,APPARENT(UNFILTERED SAMPLE) PLAT-COB UNITS  	5     	16    	1982-10-27	1986-11-25	  1.50E+01  	  6.50E+01  	  3.01E+01
00090	REDOX    ORP      MV      	OXIDATION REDUCTION POTENTIAL (MILLIVOLTS)        	1     	3     	1970-03-11	1970-05-06	  4.10E+02  	  4.35E+02  	  4.22E+02
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	5     	95    	1982-10-27	1986-11-25	   .00E+00  	  9.00E+00  	  1.83E+01
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	12    	53    	1967-06-08	1986-11-25	  1.00E+02  	  8.70E+01  	  4.84E+01
00098	VSAMPLOC DEPTH    METERS  	SAMPLING STATION LOCATION  VERTICAL (METERS)      	5     	96    	1982-10-27	1986-11-25	  1.00E+00  	  7.00E+00  	  2.52E+00
00154	SULFATE  (AS S)   MG/L    	SULFATE (AS S) WHOLE     WATER, MG/L              	2     	2     	1984-11-21	1984-11-21	  1.51E+00  	  2.29E+00  	  1.90E+00
00299	DO       PROBE    MG/L    	OXYGEN ,DISSOLVED, ANALYSIS BY PROBE          MG/L	2     	2     	1986-05-07	1986-05-07	  8.60E+00  	  9.20E+00  	  8.90E+00
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	8     	138   	1967-06-08	1986-11-25	  1.00E+01  	  9.90E+00  	  9.27E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	10    	140   	1967-06-08	1986-11-25	  1.00E+02  	  9.93E+01  	  8.65E+01
00304	BOD      2 DAY    MG/L    	BOD, 2 DAY, 20 DEG C                          MG/L	3     	3     	1967-07-31	1967-07-31	  1.00E+00  	  1.00E+00  	  1.00E+00
00310	BOD      5 DAY    MG/L    	BOD, 5 DAY, 20 DEG C                          MG/L	3     	32    	1967-06-08	1970-11-05	  1.00E+00  	  2.00E+00  	  1.15E+00
00335	COD      LOWLEVEL MG/L    	COD, .025N K2CR2O7                            MG/L	3     	32    	1967-06-08	1970-11-05	  1.00E+01  	  9.00E+00  	  1.33E+01
00400	PH        SU              	PH (STANDARD UNITS)                               	8     	125   	1967-06-08	1986-11-25	  5.21E+00  	  8.50E+00  	  6.56E+00
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	9     	20    	1982-10-27	1986-11-25	  5.85E+00  	  7.08E+00  	  6.76E+00
00409	TOT  ALK GRAN     UEQ/L   	ALKALINITY,TOTAL,LOW LEVEL GRAN ANALYSIS     UEQ/L	4     	4     	1984-11-21	1986-05-07	  1.07E+02  	  6.08E+01  	  1.32E+02
00410	T ALK    CACO3    MG/L    	ALKALINITY, TOTAL (MG/L AS CACO3)                 	8     	46    	1967-06-08	1986-11-25	  1.00E+01  	  9.50E+00  	  1.20E+01
00415	PHEN-PH- LFIN ALK MG/L    	ALKALINITY, PHENOLPHTHALEIN (MG/L)                	3     	30    	1967-06-08	1970-11-05	   .00E+00  	  1.00E+00  	  3.33E-02
00431	T ALK    FIELD    MG/L    	ALKALINITY TOATL FIELD, (MG/L AS CACO3)           	5     	14    	1982-10-27	1986-11-25	  1.00E+00  	  9.00E+00  	  4.88E+00
00435	T ACDITY CACO3    MG/L    	ACIDITY, TOTAL (MG/L AS CACO3)                    	4     	5     	1982-10-27	1983-05-05	  1.00E+00  	  7.00E+00  	  2.40E+00
00440	HCO3 ION HCO3     MG/L    	BICARBONATE ION (MG/L AS HCO3)                    	2     	2     	1986-05-07	1986-05-07	  2.41E+00  	  4.87E+00  	  3.64E+00
00500	RESIDUE  TOTAL    MG/L    	RESIDUE, TOTAL (MG/L)                             	3     	22    	1967-06-08	1968-04-09	  1.10E+02  	  8.00E+01  	  5.59E+01
00515	RESIDUE  DISS-105 C MG/L  	RESIDUE, TOTAL FILTRABLE  (DRIED AT 105C),MG/L    	3     	29    	1967-06-08	1970-10-15	  1.00E+01  	  8.00E+01  	  4.48E+01
00605	ORG N    N        MG/L    	NITROGEN, ORGANIC, TOTAL (MG/L AS N)              	3     	43    	1967-06-08	1971-11-18	  1.00E+00  	  9.00E-02  	  2.64E-01
00610	NH3+NH4- N TOTAL  MG/L    	NITROGEN, AMMONIA, TOTAL (MG/L AS N)              	3     	43    	1967-06-08	1971-11-18	  1.00E-02  	  9.00E-02  	  2.26E-02
00612	UN-IONZD NH3-N    MG/L    	AMMONIA, UNIONZED                      (MG/L AS N)	3     	30    	1967-06-08	1970-11-05	  1.49E-06  	  9.30E-04  	  3.25E-04
00615	NO2-N    TOTAL    MG/L    	NITRITE NITROGEN, TOTAL (MG/L AS N)               	3     	37    	1967-06-08	1971-05-20	  1.00E-02  	  2.00E-02  	  1.05E-02
00619	UN-IONZD NH3-NH3  MG/L    	AMMONIA, UNIONIZED (CALC FR TEMP-PH-NH4)  (MG/L)  	3     	30    	1967-06-08	1970-11-05	  1.82E-06  	  8.97E-04  	  3.95E-04
00620	NO3-N    TOTAL    MG/L    	NITRATE NITROGEN, TOTAL (MG/L AS N)               	3     	37    	1967-06-08	1971-05-20	  1.10E-01  	  8.00E-02  	  4.44E-01
00630	NO2&NO3  N-TOTAL  MG/L    	NITRITE PLUS NITRATE, TOTAL 1 DET. (MG/L AS N)    	1     	6     	1971-06-22	1971-11-18	  2.20E-01  	  7.40E-01  	  4.47E-01
00653	SOLPO4-T PO4      MG/L    	PHOSPHATE, TOTAL SOLUBLE (MG/L)                   	5     	16    	1982-10-27	1986-11-25	  4.00E-02  	  4.00E-02  	  4.00E-02
00662	PHOSPHOR WTR  TOT REC UG/L	PHOSPHORUS (P), WATER, TOTAL RECOVERABLE      UG/L	3     	3     	1984-11-21	1985-11-26	  1.20E+01  	  8.00E+00  	  2.07E+01
00665	PHOS-TOT  MG/L P          	PHOSPHORUS, TOTAL (MG/L AS P)                     	3     	43    	1967-06-08	1971-11-18	  1.30E-01  	  8.48E-02  	  5.09E-02
00666	PHOS-DIS  MG/L P          	PHOSPHORUS, DISSOLVED (MG/L AS P)                 	5     	33    	1967-06-08	1986-05-07	  1.30E-02  	  9.78E-03  	  1.87E-02
00671	PHOS-DIS ORTHO    MG/L P  	PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (MG/L AS P)  	1     	1     	1970-04-07	1970-04-07	  6.52E-03  	  6.52E-03  	  6.52E-03
00681	D ORG C  C        MG/L    	CARBON, DISSOLVED ORGANIC (MG/L AS C)             	5     	14    	1984-08-22	1986-11-25	  1.20E+00  	  7.24E-01  	  2.82E+00
00691	D IORG C C        MG/L    	CARBON, DISSOLVED INORGANIC (MG/L AS C)           	4     	4     	1984-11-21	1986-05-07	  1.36E+00  	  6.19E-01  	  1.61E+00
00910	CALCIUM  CACO3    MG/L    	CALCIUM (MG/L AS CACO3)                           	2     	2     	1984-11-21	1984-11-21	  1.56E+00  	  4.63E+00  	  3.10E+00
00915	CALCIUM  CA,DISS  MG/L    	CALCIUM, DISSOLVED (MG/L AS CA)                   	7     	18    	1982-10-27	1986-11-25	  1.40E+00  	  9.20E-01  	  1.66E+00
00916	CALCIUM  CA-TOT   MG/L    	CALCIUM, TOTAL (MG/L AS CA)                       	4     	33    	1967-06-08	1980-04-01	  1.00E+00  	  5.50E+00  	  2.72E+00
00917	CA MUD   DRY WGT  MG/KG-CA	CALCIUM IN BOTTOM DEPOSITS (MG/KG AS CA DRY WGT)  	1     	1     	1980-04-01	1980-04-01	  1.80E+03  	  1.80E+03  	  1.80E+03
00918	CALCIUMT OT.REC.  MG/L    	CALCIUM,TOTAL RECOVERABLE IN WATER AS CA     MG/L 	1     	1     	1985-11-26	1985-11-26	  7.86E+00  	  7.86E+00  	  7.86E+00
00921	MGNESIUM TOT.REC. MG/L    	MAGNESIUM,TOTAL RECOVERABLE IN WATER AS MG   MG/L 	1     	1     	1985-11-26	1985-11-26	  4.17E+00  	  4.17E+00  	  4.17E+00
00923	SODIUM   TOT.REC. MG/L    	SODIUM,TOTAL RECOVERABLE IN WATER AS NA      MG/L 	1     	1     	1985-11-26	1985-11-26	  3.80E+00  	  3.80E+00  	  3.80E+00
00924	MG MUD   DRY WGT  MG/KG-MG	MAGNESIUM IN BOTTOM DEPOS. (MG/KG AS MG DRY WGT)  	1     	1     	1980-04-01	1980-04-01	  3.80E+03  	  3.80E+03  	  3.80E+03
00925	MGNSIUM  MG,DISS  MG/L    	MAGNESIUM, DISSOLVED (MG/L AS MG)                 	9     	20    	1982-10-27	1986-11-25	  1.09E+00  	  9.30E-01  	  4.60E-01
00927	MGNSIUM  MG,TOT   MG/L    	MAGNESIUM, TOTAL (MG/L AS MG)                     	4     	34    	1967-06-08	1980-04-01	  1.00E+00  	  5.00E+00  	  1.84E+00
00929	SODIUM   NA,TOT   MG/L    	SODIUM, TOTAL (MG/L AS NA)                        	4     	33    	1967-06-08	1980-04-01	  1.00E+00  	  6.60E+00  	  2.52E+00
00930	SODIUM   NA,DISS  MG/L    	SODIUM, DISSOLVED (MG/L AS NA)                    	9     	20    	1982-10-27	1986-11-25	  1.10E+00  	  9.50E-01  	  1.37E+00
00934	NA MUD   DRY WGT  MG/KG-NA	SODIUM IN BOTTOM DEPOSITS (MG/KG AS NA DRY WGT)   	1     	1     	1980-04-01	1980-04-01	  1.00E+02  	  1.00E+02  	  1.00E+02
00935	PTSSIUM  K,DISS   MG/L    	POTASSIUM, DISSOLVED (MG/L AS K)                  	9     	20    	1982-10-27	1986-11-25	  1.12E+00  	  7.00E-01  	  4.84E-01
00937	PTSSIUM  K,TOT    MG/L    	POTASSIUM, TOTAL MG/L AS  K)                      	3     	32    	1967-06-08	1970-11-05	  1.00E+00  	  9.00E-01  	  1.33E+00
00939	POTASIUM TOT.REC. MG/L    	POTASSIUM,TOTAL RECOVERABLE IN WATER AS K    MG/L 	1     	1     	1985-11-26	1985-11-26	  8.06E-01  	  8.06E-01  	  8.06E-01
00940	CHLORIDE TOTAL    MG/L    	CHLORIDE,TOTAL IN WATER                MG/L       	3     	33    	1967-06-08	1970-11-05	  1.00E+01  	  9.00E+00  	  5.33E+00
00941	CHLORIDE DISS IN  WTR MG/L	CHLORIDE, DISSOLVED IN WATER           MG/L       	4     	4     	1984-11-21	1986-05-07	  1.06E+00  	  9.10E-01  	  2.25E+00
