Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
21NC77WQ	82002-10       	LITTLE RIVER AT SR 1234 NR PLEASANT HILL CHURCH / SOUTHEAST / NEUSE                                                                                                           	NC DE&NR                 	North Carolina                	Wayne                         	 35.463889	-78.093056                               	 500000E-4  	 	03020201	00002	1982-08-12	      1140	          	        	            	        	                	  	                     	B 	                                                            	
21NC77WQ	82002-11       	LITTLE RIVER AT US HWY 521 NEAR ASYLUM NC / SOUTHEAST / NEUSE                                                                                                                 	NC DE&NR                 	North Carolina                	Wayne                         	 35.393056	-78.024722                               	 500000E-4  	 	03020201	00002	1982-08-12	      1300	          	        	            	        	                	  	                     	B 	                                                            	
21NC77WQ	82002-10       	LITTLE RIVER AT SR 1234 NR PLEASANT HILL CHURCH / SOUTHEAST / NEUSE                                                                                                           	NC DE&NR                 	North Carolina                	Wayne                         	 35.463889	-78.093056                               	 482000E-3  	 	03020201	00008	1982-02-01	      1200	          	        	            	        	                	  	                     	B 	                                                            	
21NC77WQ	82002-10       	LITTLE RIVER AT SR 1234 NR PLEASANT HILL CHURCH / SOUTHEAST / NEUSE                                                                                                           	NC DE&NR                 	North Carolina                	Wayne                         	 35.463889	-78.093056                               	 686000E-3  	 	03020201	00008	1982-02-10	      1445	          	        	            	        	                	  	                     	B 	                                                            	
21NC77WQ	82002-11       	LITTLE RIVER AT US HWY 521 NEAR ASYLUM NC / SOUTHEAST / NEUSE                                                                                                                 	NC DE&NR                 	North Carolina                	Wayne                         	 35.393056	-78.024722                               	 481000E-3  	 	03020201	00008	1982-02-01	      1410	          	        	            	        	                	  	                     	B 	                                                            	
21NC77WQ	82002-11       	LITTLE RIVER AT US HWY 521 NEAR ASYLUM NC / SOUTHEAST / NEUSE                                                                                                                 	NC DE&NR                 	North Carolina                	Wayne                         	 35.393056	-78.024722                               	 687000E-3  	 	03020201	00008	1982-02-10	      1645	          	        	            	        	                	  	                     	B 	                                                            	
21NC77WQ	82002-10       	LITTLE RIVER AT SR 1234 NR PLEASANT HILL CHURCH / SOUTHEAST / NEUSE                                                                                                           	NC DE&NR                 	North Carolina                	Wayne                         	 35.463889	-78.093056                               	 650000E-5  	 	03020201	00010	1982-02-01	      1200	          	        	            	        	                	  	                     	B 	                                                            	
21NC77WQ	82002-10       	LITTLE RIVER AT SR 1234 NR PLEASANT HILL CHURCH / SOUTHEAST / NEUSE                                                                                                           	NC DE&NR                 	North Carolina                	Wayne                         	 35.463889	-78.093056                               	 700000E-5  	 	03020201	00010	1982-02-10	      1445	          	        	            	        	                	  	                     	B 	                                                            	
21NC77WQ	82002-10       	LITTLE RIVER AT SR 1234 NR PLEASANT HILL CHURCH / SOUTHEAST / NEUSE                                                                                                           	NC DE&NR                 	North Carolina                	Wayne                         	 35.463889	-78.093056                               	 115000E-4  	 	03020201	00010	1982-03-17	      1430	          	        	            	        	                	  	                     	B 	                                                            	
