Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
12OWNIRS	NC0496136      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Wayne                         	 35.366667	-77.883333 	03020202	               	              	        	                                                            	none                                    	/TYPA/MUN/INPLNT/INTAKE/NONAMB/PIPE/DISTR                        	           18	FEET                	 	 	none
12OWNIRS	NC0496140      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Wayne                         	 35.316667	-77.916667 	03020202	               	              	        	                                                            	none                                    	/TYPA/MUN/INPLNT/INTAKE/NONAMB/PIPE/DISTR                        	           43	FEET                	 	 	none
12OWNIRS	NC0496156      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Wayne                         	      35.4	-78.033333 	03020201	               	              	        	                                                            	none                                    	/TYPA/MUN/INPLNT/INTAKE/NONAMB/PIPE/DISTR                        	           15	FEET                	 	 	none
21NC37GW	WA1715         	GOLDSBORO / SOUTHEAST / NEUSE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Wayne                         	     35.33	-78.060833 	03020201	               	              	        	                                                            	Q32D1,100WA1715                         	/TYPA/AMBNT/WELL                                                 	          191	FEET                	 	G	none
21NC37GW	WA1716         	GOLDSBORO / SOUTHEAST / NEUSE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Wayne                         	     35.33	-78.061111 	03020201	               	              	        	                                                            	Q32D2,100WA1716                         	/TYPA/AMBNT/WELL                                                 	           57	FEET                	 	G	none
21NC37GW	WA1744         	CLIFFS OF THE NEUSE / SOUTHEAST / NEUSE                                                                                                                                       	NC DE&NR                 	North Carolina                	Wayne                         	 35.236111	-77.895    	03020202	               	              	        	                                                            	R30D1,100WA1744                         	/TYPA/AMBNT/WELL                                                 	          104	FEET                	 	G	none
21NC37GW	WA1751         	SEVEN SPRING / SOUTHEAST / CAPE FEAR                                                                                                                                          	NC DE&NR                 	North Carolina                	Wayne                         	 35.196667	-77.889722 	03030007	               	              	        	                                                            	R30Q1,100WA1751                         	/TYPA/AMBNT/WELL                                                 	           80	FEET                	 	G	none
21NC37GW	WA1895         	FREMONT / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Wayne                         	     35.55	-77.981944 	03020203	               	              	        	                                                            	N31G2,100WA1895                         	/TYPA/AMBNT/WELL                                                 	           73	FEET                	 	G	none
21NC37GW	WA1896         	SAULSTON / SOUTHEAST / NEUSE                                                                                                                                                  	NC DE&NR                 	North Carolina                	Wayne                         	 35.463889	-77.853333 	03020203	               	              	        	                                                            	O30L1,100WA1896                         	/TYPA/AMBNT/WELL                                                 	           93	FEET                	 	G	none
21NC37GW	WA2039         	WAYNE COUNTY / SOUTHEAST / CAPE FEAR RIVER                                                                                                                                    	NC DE&NR                 	North Carolina                	Wayne                         	 35.205556	-78.075    	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          158	FEET                	 	G	none
21NC37GW	WA2040         	WAYNE COUNTY / SOUTHEAST / NEUSE RIVER                                                                                                                                        	NC DE&NR                 	North Carolina                	Wayne                         	 35.250278	-78        	03020202	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          210	FEET                	 	G	none
21NC37GW	WA2079         	MOUNT OLIVE / SOUTHEAST / CAPE FEAR                                                                                                                                           	NC DE&NR                 	North Carolina                	Wayne                         	 35.333333	-78.016667 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          210	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WA2080         	GOLDSBORO / SOUTHEAST / CAPE FEAR                                                                                                                                             	NC DE&NR                 	North Carolina                	Wayne                         	 35.283333	-78.15     	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          116	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WA2081         	STANTONSBURY / SOUTHEAST / NEUSE                                                                                                                                              	NC DE&NR                 	North Carolina                	Wayne                         	      35.5	-77.833333 	03020203	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           40	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WA2082         	DUDLEY / SOUTHEAST / NEUSE                                                                                                                                                    	NC DE&NR                 	North Carolina                	Wayne                         	     35.25	-78        	03020202	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           37	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WA2083         	SLEEPY CREEK RESEARCH STATION / SOUTHEAST / NEUSE                                                                                                                             	NC DE&NR                 	North Carolina                	Wayne                         	 35.244167	-77.960556 	03020202	               	              	        	                                                            	R31C1,100WA2083                         	/TYPA/AMBNT/WELL                                                 	           72	FEET                	 	G	NRCD C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WA2084         	DUDLEY / SOUTHEAST / NEUSE                                                                                                                                                    	NC DE&NR                 	North Carolina                	Wayne                         	 35.244167	-77.960556 	03020202	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          325	FEET                	 	G	NRCD C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WA2085         	DUDLEY / SOUTHEAST / NEUSE                                                                                                                                                    	NC DE&NR                 	North Carolina                	Wayne                         	 35.238611	-77.960556 	03020202	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          305	FEET                	 	G	NRCD C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WA2086         	DUDLEY / SOUTHEAST / NEUSE                                                                                                                                                    	NC DE&NR                 	North Carolina                	Wayne                         	 35.244167	-77.960556 	03020202	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          260	FEET                	 	G	NRCD C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WA2087         	DUDLEY / SOUTHEAST / NEUSE                                                                                                                                                    	NC DE&NR                 	North Carolina                	Wayne                         	 35.244167	-77.958333 	03020202	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          212	FEET                	 	G	NRCD C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WA2088         	SAULSTON RESEARCH STATION / SOUTHEAST / NEUSE                                                                                                                                 	NC DE&NR                 	North Carolina                	Wayne                         	     35.47	-77.850833 	03020203	               	              	        	                                                            	O30I1,100WA2088                         	/TYPA/AMBNT/WELL                                                 	           45	FEET                	 	G	NRCD C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WA2089         	SOULSTON / SOUTHEAST / NEUSE                                                                                                                                                  	NC DE&NR                 	North Carolina                	Wayne                         	     35.47	-77.850833 	03020203	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          217	FEET                	 	G	NRCD C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WA2090         	SOULSTON / SOUTHEAST / NEUSE                                                                                                                                                  	NC DE&NR                 	North Carolina                	Wayne                         	     35.47	-77.850833 	03020203	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          217	FEET                	 	G	NRCD C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WA2091         	SOULSTON / SOUTHEAST / NEUSE                                                                                                                                                  	NC DE&NR                 	North Carolina                	Wayne                         	     35.47	-77.850833 	03020203	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          217	FEET                	 	G	NRCD C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WA2092         	SOULSTON / SOUTHEAST / NEUSE                                                                                                                                                  	NC DE&NR                 	North Carolina                	Wayne                         	     35.47	-77.850833 	03020203	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          217	FEET                	 	G	NRCD C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WA2095         	SLEEPY CREEK RESEARCH STATION / SOUTHEAST / NEUSE                                                                                                                             	NC DE&NR                 	North Carolina                	Wayne                         	 35.244167	-77.960556 	03020202	               	              	        	                                                            	R31C3,100WA2095                         	/TYPA/AMBNT/WELL                                                 	          178	FEET                	 	G	NRCD C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WA2096         	SLEEPY CREEK RESEARCH STATION / SOUTHEAST / NEUSE                                                                                                                             	NC DE&NR                 	North Carolina                	Wayne                         	 35.244167	-77.960556 	03020202	               	              	        	                                                            	R31C4,100WA2096                         	/TYPA/AMBNT/WELL                                                 	           19	FEET                	 	G	NRCD C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WA2158         	SAULSTON RESEARCH STATION / SOUTHEAST / NEUSE                                                                                                                                 	NC DE&NR                 	North Carolina                	Wayne                         	     35.47	-77.850833 	03020203	               	              	        	                                                            	O30I2,100WA2158                         	/TYPA/AMBNT/WELL                                                 	           96	FEET                	 	G	NRCD C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WA2159         	SAULSTON RESEARCH STATION / SOUTHEAST / NEUSE                                                                                                                                 	NC DE&NR                 	North Carolina                	Wayne                         	     35.47	-77.850833 	03020203	               	              	        	                                                            	O30I3,100WA2159                         	/TYPA/AMBNT/WELL                                                 	          175	FEET                	 	G	none
21NC37GW	WA2160         	GOLDSBORO / SOUTHEAST / NEUSE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Wayne                         	 35.329167	-78.034722 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          155	FEET                	 	G	SOUTHERN WAYNE SANITARY DIST. C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WA2161         	SAULSTON RESEARCH STATION / SOUTHEAST / NEUSE                                                                                                                                 	NC DE&NR                 	North Carolina                	Wayne                         	     35.47	-77.850833 	03020203	               	              	        	                                                            	O30I4,100WA2161                         	/TYPA/AMBNT/WELL                                                 	           18	FEET                	 	G	NRCD C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WA2162         	SOULSTON / SOUTHEAST / NEUSE                                                                                                                                                  	NC DE&NR                 	North Carolina                	Wayne                         	     35.47	-77.850833 	03020203	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           96	FEET                	 	G	NRCD C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WA2163         	PIKEVILLE / SOUTHEAST / NEUSE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Wayne                         	      35.5	-78        	03020203	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           33	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WA2164         	PIKEVILLE / SOUTHEAST / NEUSE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Wayne                         	     35.45	-78.066667 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           34	FEET                	 	G	HAROLD RICHARDSON C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WA2165         	PIKEVILLE / SOUTHEAST / NEUSE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Wayne                         	     35.45	-78.066667 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           40	FEET                	 	G	HAROLD RICHARDSON C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WA2166         	PIKEVILLE / SOUTHEAST / NEUSE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Wayne                         	     35.45	-78.066667 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           25	FEET                	 	G	HAROLD RICHARDSON C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WA2168         	PIKEVILLE / SOUTHEAST / NEUSE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Wayne                         	 35.416667	-78.083333 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          277	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC77WQ	82002-10       	LITTLE RIVER AT SR 1234 NR PLEASANT HILL CHURCH / SOUTHEAST / NEUSE                                                                                                           	NC DE&NR                 	North Carolina                	Wayne                         	 35.463889	-78.093056 	03020201	            002	         17.82	ON      	LITTLE R                                                    	SCSLR10                                 	/TYPA/AMBNT/STREAM                                               	            1	FEET                	S	 	none
21NC77WQ	82002-11       	LITTLE RIVER AT US HWY 521 NEAR ASYLUM NC / SOUTHEAST / NEUSE                                                                                                                 	NC DE&NR                 	North Carolina                	Wayne                         	 35.393056	-78.024722 	03020201	            002	          5.07	OFF     	LITTLE R                                                    	SCSLR11,J5930000,02088632               	/TYPA/AMBNT/FISH/STREAM                                          	            1	FEET                	S	 	none
21NCGWNW	WA1715         	GOLDSBORO / SOUTHEAST / NEUSE                                                                                                                                                 	NC ENV. HTH. NAT. RES.   	North Carolina                	Wayne                         	     35.33	-78.060833 	03020201	               	              	        	                                                            	Q32D1,100WA1715                         	/TYPA/AMBNT/WELL                                                 	          191	FEET                	 	G	none
21NCGWNW	WA1716         	GOLDSBORO / SOUTHEAST / NEUSE                                                                                                                                                 	NC ENV. HTH. NAT. RES.   	North Carolina                	Wayne                         	     35.33	-78.061111 	03020201	               	              	        	                                                            	Q32D2,100WA1716                         	/TYPA/AMBNT/WELL                                                 	           57	FEET                	 	G	none
