Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1114PEST	370056A        	WILKESBORO STP AT WILKESBORO NC TO CUB CREEK / YADKIN-PEE DEE R BASIN / INFLUENT                                                                                              	USEPA REGION 4           	North Carolina                	Wilkes                        	    36.145	-81.158333 	03040101	               	              	        	                                                            	NC0021717 A,INF      WIL                	/TYPA/MUN/NTRTMT/INTAKE/NONAMB/PIPE                              	            0	FEET                	 	 	none
1114PEST	370056B        	WILKESBORO STP AT WILKESBORO NC TO CUB CREEK / YADKIN-PEE DEE R BASIN / FINAL EFF BETWEEN CONTACT TANK AND CUB C                                                              	USEPA REGION 4           	North Carolina                	Wilkes                        	    36.145	-81.158333 	03040101	               	              	        	                                                            	NC0021717 B                             	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
1114PEST	370194A        	GARDNER MIRROR CORP AT N WILKESBORO NC / YADKIN-PEE DEE RIV BASIN / EFF FRM SAMPLING PUMP IN CONTROL LAB                                                                      	USEPA REGION 4           	North Carolina                	Wilkes                        	 36.171667	-81.145    	03040101	            056	          2.03	OFF     	YADKIN R                                                    	NC0005096 A,GM-001   GMC                	/TYPA/IND/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
1114PEST	370194B        	GARDNER MIRROR CORP AT N WILKESBORO NC / YADKIN-PEE DEE RIV BASIN / EFF FROM CENTRIFUGE                                                                                       	USEPA REGION 4           	North Carolina                	Wilkes                        	 36.171667	-81.145    	03040101	            056	          2.03	OFF     	YADKIN R                                                    	NC0005096 B,GM-S     GMC                	/TYPA/IND/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
121WILEN	RED01          	SUNCREST ORCHARD RD BR REDDIES RIVER / SOUTHEAST / YADKIN-PEE DEE-LOWER PEE DEE RIVER                                                                                         	CORPS OF ENGINEERS       	North Carolina                	Wilkes                        	 36.173917	-81.169778 	03040101	            057	          2.21	OFF     	REDDIES R                                                   	none                                    	/TYPA/AMBNT/STREAM                                               	           20	FEET                	S	 	none
121WILEN	WKS01          	STA 1 1000 FT W (UPSTREAM) WK SCOTT DAM. / SOUTHEAST / YADKIN-PEE DEE-LOWER PEE DEE RIVER                                                                                     	CORPS OF ENGINEERS       	North Carolina                	Wilkes                        	 36.132333	-81.22125  	03040101	            063	          3.02	OFF     	YADKIN R                                                    	none                                    	/RESERV/TYPA/AMBNT                                               	          150	FEET                	S	 	none
121WILEN	WKS02          	STA 2 GOSHEN AREA WK SCOTT RESERVOIR / SOUTHEAST / YADKIN-PEE DEE-LOWER PEE DEE                                                                                               	CORPS OF ENGINEERS       	North Carolina                	Wilkes                        	 36.116917	-81.287222 	03040101	            068	           .59	OFF     	YADKIN R                                                    	none                                    	/RESERV/TYPA/AMBNT                                               	           90	FEET                	S	 	none
121WILEN	YAD01          	BROWN'S FORD BRIDGE BELOW WK SCOTT RESV. / SOUTHEAST / YADKIN-PEE DEE-LOWER PEE DEE RIVER                                                                                     	CORPS OF ENGINEERS       	North Carolina                	Wilkes                        	 36.136194	-81.218611 	03040101	            063	          2.88	OFF     	YADKIN R                                                    	none                                    	/TYPA/AMBNT/STREAM                                               	           30	FEET                	S	 	none
121WILEN	YAD02          	WILKESBORO PUMP STA BELOW WK SCOTT RESV. / SOUTHEAST / YADKIN-PEE DEE-LOWER PEE DEE RIVER                                                                                     	CORPS OF ENGINEERS       	North Carolina                	Wilkes                        	 36.144333	-81.178667 	03040101	            080	            .2	OFF     	MORAVIAN CR                                                 	none                                    	/TYPA/AMBNT/STREAM                                               	           30	FEET                	S	 	none
