
Wilkes, NC
Number of Stations = 67


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	2     	2     	1982-05-25	1982-05-26	  1.57E+03  	  1.57E+03  	  1.57E+03
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	14    	2820  	1974-10-29	1998-12-02	  1.00E+01  	  9.90E+00  	  1.62E+01
00026	TOXICS   EPA IDEN FY      	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE  	4     	32    	1975-10-21	1982-05-26	  1.98E+03  	  1.98E+03  	  1.98E+03
00064	DEPTH OF STREAM   MEAN(FT)	DEPTH OF STREAM, MEAN (FT)                        	2     	2     	1986-05-04	1986-05-04	  2.60E-01  	  6.60E-01  	  4.60E-01
00070	TURB     JKSN     JTU     	TURBIDITY, (JACKSON CANDLE UNITS)                 	1     	6     	1975-10-21	1975-10-23	  1.10E+01  	  8.00E+02  	  1.52E+02
00076	TURB     TRBIDMTR HACH FTU	TURBIDITY,HACH TURBIDIMETER (FORMAZIN TURB UNIT)  	3     	21    	1998-06-01	1998-12-02	  1.04E+01  	  9.60E+00  	  8.91E+00
00078	TRANSP   SECCHI   METERS  	TRANSPARENCY, SECCHI DISC (METERS)                	1     	1     	1984-11-29	1984-11-29	  3.75E+00  	  3.75E+00  	  3.75E+00
00080	COLOR    PT-CO    UNITS   	COLOR (PLATINUM-COBALT UNITS)                     	3     	3     	1984-11-29	1986-05-04	  2.50E+01  	  4.00E+01  	  3.00E+01
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	3     	27    	1998-06-01	1998-12-02	  3.22E+01  	  9.11E+01  	  5.11E+01
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	3     	3     	1984-11-29	1986-05-04	  2.11E+01  	  4.79E+01  	  3.52E+01
00120	PRECIP   CUM LOC4 INCHES  	PRECIPITATION,CUMULATIVE AT GIVEN TIME,LOC.4(IN)  	1     	1     	1974-10-29	1974-10-29	  1.58E+01  	  1.58E+01  	  1.58E+01
00154	SULFATE  (AS S)   MG/L    	SULFATE (AS S) WHOLE     WATER, MG/L              	1     	1     	1984-11-29	1984-11-29	  6.40E-01  	  6.40E-01  	  6.40E-01
00299	DO       PROBE    MG/L    	OXYGEN ,DISSOLVED, ANALYSIS BY PROBE          MG/L	8     	1668  	1974-10-29	1986-05-04	   .00E+00  	  9.90E+00  	  8.60E+00
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	4     	29    	1977-03-09	1998-12-02	  1.01E+01  	  9.90E+00  	  8.28E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	12    	1692  	1974-10-29	1998-12-02	   .00E+00  	  9.93E+01  	  8.46E+01
00310	BOD      5 DAY    MG/L    	BOD, 5 DAY, 20 DEG C                          MG/L	2     	11    	1975-10-21	1977-03-09	  1.27E+02  	  6.90E+01  	  4.39E+02
00340	COD      HI LEVEL MG/L    	COD, .25N K2CR2O7                             MG/L	2     	6     	1975-10-21	1975-10-23	  1.81E+02  	  8.60E+02  	  5.18E+02
00400	PH        SU              	PH (STANDARD UNITS)                               	11    	1120  	1974-10-29	1998-12-02	  5.10E+00  	  8.80E+00  	  6.61E+00
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	5     	10    	1975-10-21	1986-05-04	  6.30E+00  	  7.08E+00  	  6.59E+00
00409	TOT  ALK GRAN     UEQ/L   	ALKALINITY,TOTAL,LOW LEVEL GRAN ANALYSIS     UEQ/L	3     	3     	1984-11-29	1986-05-04	  1.05E+02  	  3.31E+02  	  2.22E+02
00440	HCO3 ION HCO3     MG/L    	BICARBONATE ION (MG/L AS HCO3)                    	2     	2     	1986-05-04	1986-05-04	  1.22E+01  	  1.67E+01  	  1.45E+01
00500	RESIDUE  TOTAL    MG/L    	RESIDUE, TOTAL (MG/L)                             	2     	6     	1975-10-21	1975-10-23	  1.61E+02  	  5.20E+02  	  3.88E+02
00505	RESIDUE  TOT VOL  MG/L    	RESIDUE, TOTAL VOLATILE (MG/L)                    	2     	6     	1975-10-21	1975-10-23	  1.04E+02  	  5.10E+01  	  2.33E+02
00530	RESIDUE  TOT NFLT MG/L    	RESIDUE, TOTAL NONFILTRABLE (MG/L)                	4     	20    	1975-10-21	1998-12-02	  1.00E+00  	  9.00E+00  	  1.82E+02
00535	RESIDUE  VOL NFLT MG/L    	RESIDUE, VOLATILE NONFILTRABLE (MG/L)             	2     	6     	1975-10-21	1975-10-23	  1.00E+01  	  5.30E+01  	  1.43E+02
00545	RESIDUE  SETTLBLE ML/L    	RESIDUE, SETTLEABLE (ML/L)                        	2     	4     	1975-10-21	1975-10-22	  1.00E+00  	  7.00E-01  	  5.28E-01
00556	OIL-GRSE FREON-GR MG/L    	OIL & GREASE (FREON EXTR.-GRAV METH) TOT,REC,MG/L 	2     	6     	1975-10-22	1975-10-23	  1.10E+01  	  5.00E+00  	  1.77E+02
00610	NH3+NH4- N TOTAL  MG/L    	NITROGEN, AMMONIA, TOTAL (MG/L AS N)              	3     	13    	1975-10-21	1998-12-02	  1.00E-01  	  9.60E+00  	  3.62E+00
00612	UN-IONZD NH3-N    MG/L    	AMMONIA, UNIONZED                      (MG/L AS N)	1     	7     	1998-06-01	1998-12-02	  3.10E-03  	  9.07E-05  	  1.34E-03
00619	UN-IONZD NH3-NH3  MG/L    	AMMONIA, UNIONIZED (CALC FR TEMP-PH-NH4)  (MG/L)  	1     	7     	1998-06-01	1998-12-02	  1.00E-03  	  8.28E-04  	  1.62E-03
00625	TOT KJEL N        MG/L    	NITROGEN, KJELDAHL, TOTAL, (MG/L AS N)            	3     	13    	1975-10-21	1998-12-02	  1.00E+00  	  9.10E+00  	  8.99E+00
00630	NO2&NO3  N-TOTAL  MG/L    	NITRITE PLUS NITRATE, TOTAL 1 DET. (MG/L AS N)    	3     	13    	1975-10-21	1998-12-02	  1.00E-02  	  4.00E-02  	  2.06E-01
