Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
1114PEST	370057A        	WILSON STP AT WILSON NC AT CONTENTEA CREEK / NEUSE RIVER BASIN / CENTRIFUGED SLUDGE                                                                                           	USEPA REGION 4           	North Carolina                	Wilson                        	 35.616667	-77.916667                               	 121900E-2  	 	03020203	00008	1981-04-16	      1715	          	        	            	        	                	  	                     	B 	                                                            	
21NCLNBA	J6500000       	MOCCASIN CREEK AT SR 1131 NEAR CONNER NC / SOUTHEAST / NEUSE                                                                                                                  	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Wilson                        	 35.730556	-78.188889                               	 700000E-5  	 	03020203	00010	1994-12-12	      1000	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J6500000       	MOCCASIN CREEK AT SR 1131 NEAR CONNER NC / SOUTHEAST / NEUSE                                                                                                                  	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Wilson                        	 35.730556	-78.188889                               	 900000E-5  	 	03020203	00010	1995-01-19	      0955	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J6500000       	MOCCASIN CREEK AT SR 1131 NEAR CONNER NC / SOUTHEAST / NEUSE                                                                                                                  	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Wilson                        	 35.730556	-78.188889                               	 000000E+0  	 	03020203	00010	1995-02-13	      0825	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J6500000       	MOCCASIN CREEK AT SR 1131 NEAR CONNER NC / SOUTHEAST / NEUSE                                                                                                                  	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Wilson                        	 35.730556	-78.188889                               	 650000E-5  	 	03020203	00010	1995-03-13	      0750	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J6500000       	MOCCASIN CREEK AT SR 1131 NEAR CONNER NC / SOUTHEAST / NEUSE                                                                                                                  	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Wilson                        	 35.730556	-78.188889                               	 125000E-4  	 	03020203	00010	1995-04-11	      0900	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J6500000       	MOCCASIN CREEK AT SR 1131 NEAR CONNER NC / SOUTHEAST / NEUSE                                                                                                                  	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Wilson                        	 35.730556	-78.188889                               	 155000E-4  	 	03020203	00010	1995-05-11	      0935	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J6500000       	MOCCASIN CREEK AT SR 1131 NEAR CONNER NC / SOUTHEAST / NEUSE                                                                                                                  	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Wilson                        	 35.730556	-78.188889                               	 200000E-4  	 	03020203	00010	1995-05-25	      1335	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J6500000       	MOCCASIN CREEK AT SR 1131 NEAR CONNER NC / SOUTHEAST / NEUSE                                                                                                                  	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Wilson                        	 35.730556	-78.188889                               	 180000E-4  	 	03020203	00010	1995-06-14	      0910	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J6500000       	MOCCASIN CREEK AT SR 1131 NEAR CONNER NC / SOUTHEAST / NEUSE                                                                                                                  	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Wilson                        	 35.730556	-78.188889                               	 200000E-4  	 	03020203	00010	1995-06-25	      1325	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J6500000       	MOCCASIN CREEK AT SR 1131 NEAR CONNER NC / SOUTHEAST / NEUSE                                                                                                                  	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Wilson                        	 35.730556	-78.188889                               	 230000E-4  	 	03020203	00010	1995-07-18	      0915	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J6500000       	MOCCASIN CREEK AT SR 1131 NEAR CONNER NC / SOUTHEAST / NEUSE                                                                                                                  	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Wilson                        	 35.730556	-78.188889                               	 230000E-4  	 	03020203	00010	1995-07-25	      1130	          	        	         .49	        	                	  	                     	B 	                                                            	
