Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1114PEST	370057A        	WILSON STP AT WILSON NC AT CONTENTEA CREEK / NEUSE RIVER BASIN / CENTRIFUGED SLUDGE                                                                                           	USEPA REGION 4           	North Carolina                	Wilson                        	 35.616667	-77.916667 	03020203	               	              	        	                                                            	NC0023906 A,W-CS     WIL                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE/SOLIDS                        	            0	FEET                	 	 	none
1114PEST	370057B        	WILSON STP AT WILSON NC AT CONTENTEA CREEK / NEUSE RIVER BASIN / SLUDGE      DIGESTED SLUDGE                                                                                  	USEPA REGION 4           	North Carolina                	Wilson                        	 35.616667	-77.916667 	03020203	               	              	        	                                                            	NC0023906 B,SLUDGE   WIL                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE/SOLIDS                        	            0	FEET                	 	 	none
12OWNIRS	NC0498020      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Wilson                        	      35.8	-77.85     	03020103	               	              	        	                                                            	none                                    	/TYPA/MUN/INPLNT/INTAKE/NONAMB/PIPE/DISTR                        	           75	FEET                	 	 	none
12OWNIRS	NC0498055      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Wilson                        	 35.716667	-77.9      	03020203	               	              	        	                                                            	none                                    	/TYPA/MUN/INPLNT/INTAKE/NONAMB/PIPE/DISTR                        	          102	FEET                	 	 	none
21NC37GW	WL1502         	SARATOGA / SOUTHEAST / NEUSE                                                                                                                                                  	NC DE&NR                 	North Carolina                	Wilson                        	 35.667778	-77.733889 	03020203	               	              	        	                                                            	L28X1,100WL1502                         	/TYPA/AMBNT/WELL                                                 	           56	FEET                	 	G	none
21NC37GW	WL1703         	SIMS / SOUTHEAST / NEUSE                                                                                                                                                      	NC DE&NR                 	North Carolina                	Wilson                        	     35.76	-77.060833 	03010107	               	              	        	                                                            	K32X2,100WL1703                         	/TYPA/AMBNT/WELL                                                 	           14	FEET                	 	G	none
21NC37GW	WL2397         	WILSON COUNTY / SOUTHEAST / NEUSE RIVER                                                                                                                                       	NC DE&NR                 	North Carolina                	Wilson                        	 35.601389	-77.820833 	03020203	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           55	FEET                	 	G	none
21NC37GW	WL2398         	WILSON COUNTY / SOUTHEAST / NEUSE RIVER                                                                                                                                       	NC DE&NR                 	North Carolina                	Wilson                        	 35.666944	-78        	03020203	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          560	FEET                	 	G	none
21NC37GW	WL2456         	WILSON / SOUTHEAST / NEUSE                                                                                                                                                    	NC DE&NR                 	North Carolina                	Wilson                        	 35.666667	-77.916667 	03020203	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           56	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
