
Wilson, NC
Number of Stations = 50


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	1     	1     	1981-04-16	1981-04-16	  1.22E+03  	  1.22E+03  	  1.22E+03
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	6     	384   	1994-12-12	1998-12-10	   .00E+00  	  9.50E+00  	  1.74E+01
00026	TOXICS   EPA IDEN FY      	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE  	2     	2     	1978-06-09	1981-04-16	  1.98E+03  	  1.98E+03  	  1.98E+03
00061	STREAM   FLOW,    INST-CFS	FLOW, STREAM, INSTANTANEOUS                    CFS	2     	118   	1994-12-12	1998-12-10	  1.00E+00  	  9.85E+01  	  1.13E+02
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	6     	384   	1994-12-12	1998-12-10	  1.00E+02  	  9.70E+01  	  9.64E+01
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	6     	384   	1994-12-12	1998-12-10	  1.00E+01  	  9.90E+00  	  7.17E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	6     	384   	1994-12-12	1998-12-10	  1.00E+02  	  9.80E+01  	  7.07E+01
00400	PH        SU              	PH (STANDARD UNITS)                               	6     	384   	1994-12-12	1998-12-10	  5.10E+00  	  7.80E+00  	  6.72E+00
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	6     	204   	1994-12-12	1997-11-12	  6.10E+00  	  7.50E+00  	  6.86E+00
00530	RESIDUE  TOT NFLT MG/L    	RESIDUE, TOTAL NONFILTRABLE (MG/L)                	6     	276   	1994-12-12	1998-12-10	  1.00E+01  	  9.70E+01  	  6.00E+00
00600	TOTAL N  N        MG/L    	NITROGEN, TOTAL (MG/L AS N)                       	6     	276   	1994-12-12	1998-12-10	  1.00E+00  	  9.90E-01  	  1.14E+00
00610	NH3+NH4- N TOTAL  MG/L    	NITROGEN, AMMONIA, TOTAL (MG/L AS N)              	6     	276   	1994-12-12	1998-12-10	  1.00E-01  	  9.00E-02  	  2.48E-01
00612	UN-IONZD NH3-N    MG/L    	AMMONIA, UNIONZED                      (MG/L AS N)	6     	276   	1994-12-12	1998-12-10	  1.57E-06  	  9.96E-05  	  6.20E-04
00619	UN-IONZD NH3-NH3  MG/L    	AMMONIA, UNIONIZED (CALC FR TEMP-PH-NH4)  (MG/L)  	6     	276   	1994-12-12	1998-12-10	  1.91E-06  	  9.93E-04  	  7.53E-04
00625	TOT KJEL N        MG/L    	NITROGEN, KJELDAHL, TOTAL, (MG/L AS N)            	6     	276   	1994-12-12	1998-12-10	  1.00E+00  	  9.80E-01  	  7.91E-01
00630	NO2&NO3  N-TOTAL  MG/L    	NITRITE PLUS NITRATE, TOTAL 1 DET. (MG/L AS N)    	6     	276   	1994-12-12	1998-12-10	  1.00E-01  	  9.90E-01  	  4.32E-01
00662	PHOSPHOR WTR  TOT REC UG/L	PHOSPHORUS (P), WATER, TOTAL RECOVERABLE      UG/L	2     	2     	1985-05-15	1985-06-04	  1.49E+02  	  4.20E+01  	  9.55E+01
