Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
131TVAC 	360096         	U.S. HWY 19E BRIDGE / FRENCH BROAD RIVER BASIN / LITTLE CRABTREE CREEK 0.41                                                                                                   	TENN VALLEY AUTHORITY    	North Carolina                	Yancey                        	 35.909167	-82.214167                               	 500000E-4  	 	06010108	00002	1968-01-10	      1410	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360096         	U.S. HWY 19E BRIDGE / FRENCH BROAD RIVER BASIN / LITTLE CRABTREE CREEK 0.41                                                                                                   	TENN VALLEY AUTHORITY    	North Carolina                	Yancey                        	 35.909167	-82.214167                               	 500000E-4  	 	06010108	00002	1968-03-13	      1435	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360096         	U.S. HWY 19E BRIDGE / FRENCH BROAD RIVER BASIN / LITTLE CRABTREE CREEK 0.41                                                                                                   	TENN VALLEY AUTHORITY    	North Carolina                	Yancey                        	 35.909167	-82.214167                               	 500000E-4  	 	06010108	00002	1968-05-07	      0950	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360096         	U.S. HWY 19E BRIDGE / FRENCH BROAD RIVER BASIN / LITTLE CRABTREE CREEK 0.41                                                                                                   	TENN VALLEY AUTHORITY    	North Carolina                	Yancey                        	 35.909167	-82.214167                               	 500000E-4  	 	06010108	00002	1968-06-05	      1550	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360096         	U.S. HWY 19E BRIDGE / FRENCH BROAD RIVER BASIN / LITTLE CRABTREE CREEK 0.41                                                                                                   	TENN VALLEY AUTHORITY    	North Carolina                	Yancey                        	 35.909167	-82.214167                               	 500000E-4  	 	06010108	00002	1968-06-25	      1025	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360096         	U.S. HWY 19E BRIDGE / FRENCH BROAD RIVER BASIN / LITTLE CRABTREE CREEK 0.41                                                                                                   	TENN VALLEY AUTHORITY    	North Carolina                	Yancey                        	 35.909167	-82.214167                               	 500000E-4  	 	06010108	00002	1968-08-01	      1340	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360096         	U.S. HWY 19E BRIDGE / FRENCH BROAD RIVER BASIN / LITTLE CRABTREE CREEK 0.41                                                                                                   	TENN VALLEY AUTHORITY    	North Carolina                	Yancey                        	 35.909167	-82.214167                               	 500000E-4  	 	06010108	00002	1968-08-22	      1200	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360096         	U.S. HWY 19E BRIDGE / FRENCH BROAD RIVER BASIN / LITTLE CRABTREE CREEK 0.41                                                                                                   	TENN VALLEY AUTHORITY    	North Carolina                	Yancey                        	 35.909167	-82.214167                               	 500000E-4  	 	06010108	00002	1968-08-27	      1145	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360097         	BRIDGE BELOW GAGING STATION SSE OF CELO / FRENCH BROAD RIVER BASIN / SOUTH TOE RIVER 19.85                                                                                    	TENN VALLEY AUTHORITY    	North Carolina                	Yancey                        	 35.833333	-82.183333                               	 500000E-4  	 	06010108	00002	1968-01-10	      1440	          	        	           1	        	                	  	                     	B 	                                                            	
