Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1114PEST	370072A        	DENEEN MICA AT NEWDALE NC TO SOUTH TOE RIVER / FRENCH BROAD RIVER BASIN / EFFLUENT -NPDES OUTFALL-TREATMENT SYSTEM                                                            	USEPA REGION 4           	North Carolina                	Yancey                        	 35.908333	-82.2      	06010108	            023	          4.53	OFF     	S TOE R                                                     	NC0000434 A,DM-001   DEN                	/TYPA/IND/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
1118ATL8	110801         	BLACK MOUNTAIN CAMPGROUND / TENNESSEE RIVER / FRENCH BROAD RIVER                                                                                                              	US FOREST SERVICE        	North Carolina                	Yancey                        	 35.753611	-82.223056 	06010108	               	              	        	                                                            	none                                    	/TYPA/AMBNT/SPRING                                               	            0	FEET                	 	G	none
1118ATL8	110807         	CAROLINA HEMLOCKS SWIMMING BEACH / TENNESSEE R / FRENCH BROAD R                                                                                                               	US FOREST SERVICE        	North Carolina                	Yancey                        	 35.803611	-82.200833 	06010108	            023	         20.22	OFF     	S TOE R                                                     	080101004701                            	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	SWIMMING AREA.FECAL COLIFORM MONITORED WEEKLY DURING PERIOD OF USE BY M. F. METHOD.PH BY HACH COLOR/METER.ORIGINAL DATA AND MORE INFORMATION AVAILABLE AT NATIONAL FORESTS IN NORTH CAROLINA SUPERVISORS OFFICE ASHEVILLE,NC FTS 6720601 OR COMMERCIAL 7042582850 ESTABLISHED SWIMMING AREA CAROLINA HEMLOCK SWIMMING BEACH IS LOCATED ON THE SOUTH TOE RIVER OFF US 80 3 MILES NW OF BUSICK NC
12ELS1  	3A2-066        	MARS HILL LAKE /  /                                                                                                                                                           	EPA ENVIRONMENTAL RES LAB	North Carolina                	Yancey                        	 35.944444	-82.494444 	06010108	               	              	        	                                                            	none                                    	/TYPA/AMBNT/LAKE                                                 	           22	FEET                	S	 	THIS DATA WAS COLLECTED DURING THE EASTERN LAKE SURVEY-PHASE I (ELS-I) AS PART OF EPA'S NATIONAL SURFACE WATER SURVEY, AQUATIC EFFECTS RESEARCH PROGRAM.  THE SURVEY DESIGN, METHODS, AND DATA LIMITATIONS ARE DESCRIBED IN: LINTHURST, R. A. ET AL. 1986. CHARACTERISTICS OF LAKES IN THE EASTERN UNITED STATES. VOL. I. POPULATION DESCRIPTIONS AND PHYSICO-CHEMICAL RELATIONSHIPS. EPA/600/4-86/007A. U.S. ENVIRON. PROT. AGENCY, WASHINGTON, D.C. 136 PP. THE DATA PRESENTED HERE ARE THOSE REPORTED IN LINTHURST ET AL. (1986) WITH THE FOLLOWING EXCEPTIONS: (1) UNITS FOR CHEMICAL PARAMETERS ARE TYPICALLY IN MG/L RATHER THAN MICROEQ/L; (2) NO SUBSTITUTED VALUES ARE PROVIDED FOR SUSPECT DATA; (3) TAGS AND FLAGS USED TO IDENTIFY SUSPICIOUS DATA ARE NOT SHOWN; AND (4) CALCULATED OR DERIVED VARIABLES ARE EXCLUDED.
131TVAC 	360096         	U.S. HWY 19E BRIDGE / FRENCH BROAD RIVER BASIN / LITTLE CRABTREE CREEK 0.41                                                                                                   	TENN VALLEY AUTHORITY    	North Carolina                	Yancey                        	 35.909167	-82.214167 	06010108	               	              	        	                                                            	5536                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
131TVAC 	360097         	BRIDGE BELOW GAGING STATION SSE OF CELO / FRENCH BROAD RIVER BASIN / SOUTH TOE RIVER 19.85                                                                                    	TENN VALLEY AUTHORITY    	North Carolina                	Yancey                        	 35.833333	-82.183333 	06010108	               	              	        	                                                            	5533                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
131TVAC 	360099         	TRIBUTARY TO CANE RIVER 22.76 / FRENCH BROAD RIVER BASIN / PINE SWAMP BRANCH 0.02                                                                                             	TENN VALLEY AUTHORITY    	North Carolina                	Yancey                        	    35.905	-82.333056 	06010108	               	              	        	                                                            	5392                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
131TVAC 	360100         	2 MILES WSW OF BURNSVILLE / FRENCH BROAD RIVER BASIN / CANE RIVER 22.78                                                                                                       	TENN VALLEY AUTHORITY    	North Carolina                	Yancey                        	    35.905	-82.333333 	06010108	               	              	        	                                                            	5389                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
131TVAC 	360101         	BRIDGE 0.6 MILE SW OF HUNTDALE / FRENCH BROAD RIVER BASIN / CANE RIVER 0.28                                                                                                   	TENN VALLEY AUTHORITY    	North Carolina                	Yancey                        	    36.025	-82.327222 	06010108	               	              	        	                                                            	5374                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
131TVAC 	360106         	N.CAROLINA HWY 197 BRIDGE / FRENCH BROAD RIVER BASIN / NORTH TOE RIVER 11.75                                                                                                  	TENN VALLEY AUTHORITY    	North Carolina                	Yancey                        	 36.013056	-82.229722 	06010108	               	              	        	                                                            	5344                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
131TVAC 	360108         	HWY 26 BRIDGE AT HUNTDALE / FRENCH BROAD RIVER BASIN / NORTH TOE RIVER 0.5                                                                                                    	TENN VALLEY AUTHORITY    	North Carolina                	Yancey                        	 36.025833	-82.321111 	06010108	               	              	        	                                                            	5341                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
131TVAC 	360109         	N.C. HWY 80 BRIDGE AT BOONFORD / FRENCH BROAD RIVER BASIN / NORTH TOE RIVER 23.0                                                                                              	TENN VALLEY AUTHORITY    	North Carolina                	Yancey                        	 35.929167	-82.170556 	06010108	               	              	        	                                                            	5347                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
131TVAC 	360111         	N.C. HWY 80 BRIDGE AT NEWDALE / FRENCH BROAD RIVER BASIN / SOUTH TOE RIVER 6.9                                                                                                	TENN VALLEY AUTHORITY    	North Carolina                	Yancey                        	 35.908611	-82.191667 	06010108	               	              	        	                                                            	5530                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
131TVAC 	360112         	0.8 MILE SW OF HUNTDALE / FRENCH BROAD RIVER BASIN / CANE RIVER 0.70                                                                                                          	TENN VALLEY AUTHORITY    	North Carolina                	Yancey                        	 36.022778	-82.330556 	06010108	               	              	        	                                                            	5377                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
131TVAC 	360113         	OLD BRIDGE AT RIVERSIDE ABOVE U.S. HWY 19E / FRENCH BROAD RIVER BASIN / CANE RIVER 21.6                                                                                       	TENN VALLEY AUTHORITY    	North Carolina                	Yancey                        	 35.910556	-82.348056 	06010108	               	              	        	                                                            	5386                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
131TVAC 	360206         	BRIDGE BELOW MCINTOSH BRANCH / FRENCH BROAD RIVER BASIN / PINE SWAMP BRANCH 1.47                                                                                              	TENN VALLEY AUTHORITY    	North Carolina                	Yancey                        	   35.9125	-82.311944 	06010108	               	              	        	                                                            	5398                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
131TVAC 	360207         	ROAD CROSSING ABOVE UNNAMED BRANCH / FRENCH BROAD RIVER BASIN / PINE SWAMP BRANCH 1.0                                                                                         	TENN VALLEY AUTHORITY    	North Carolina                	Yancey                        	 35.911389	-82.319167 	06010108	               	              	        	                                                            	5395                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
131TVAC 	360211         	FOOTBRIDGE AT ELK SHOAL BELOW LANGFORD BRANCH / FRENCH BROAD RIVER BASIN / CANE RIVER 16.3                                                                                    	TENN VALLEY AUTHORITY    	North Carolina                	Yancey                        	 35.941944	-82.390833 	06010108	               	              	        	                                                            	5383                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
131TVAC 	360212         	BRIDGE AT WINDOM 2.8 MILES EAST OF BURNSVILLE / FRENCH BROAD RIVER BASIN / LITTLE CRABTREE CREEK 2.75                                                                         	TENN VALLEY AUTHORITY    	North Carolina                	Yancey                        	 35.915556	-82.250278 	06010108	               	              	        	                                                            	5539                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
131TVAC 	360213         	AT BRIDGE ABOVE ALLEN BRANCH / FRENCH BROAD RIVER BASIN / LITTLE CRABTREE CREEK 3.84                                                                                          	TENN VALLEY AUTHORITY    	North Carolina                	Yancey                        	    35.915	-82.265556 	06010108	               	              	        	                                                            	5542                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
131TVAC 	360221         	USGS STREAM GAGE 1.0 MILE SSW OF HUNTDALE / FRENCH BROAD RIVER BASIN / CANE RIVER 1.30                                                                                        	TENN VALLEY AUTHORITY    	North Carolina                	Yancey                        	 36.014722	-82.3275   	06010108	               	              	        	                                                            	5380                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
