
Yancey, NC
Number of Stations = 43


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00002	HSAMPLOC % FROM   RT BANK 	X-SEC. LOC., HORIZ (% FROM R BANK LOOK UPSTR.)    	16    	77    	1967-10-18	1975-09-08	  2.50E+01  	  9.50E+01  	  5.27E+01
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	1     	2     	1979-04-24	1979-04-25	  1.10E+03  	  1.10E+03  	  1.10E+03
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	19    	133   	1967-10-18	1984-11-21	  1.10E+01  	  9.00E+00  	  1.61E+01
00011	WATER    TEMP     FAHN    	TEMPERATURE, WATER (DEGREES FAHRENHEIT)           	1     	41    	1975-05-29	1978-06-21	  4.82E+01  	  7.34E+01  	  6.28E+01
00020	AIR      TEMP     CENT    	TEMPERATURE, AIR (DEGREES CENTIGRADE)             	1     	10    	1981-06-15	1981-08-31	  2.00E+01  	  2.80E+01  	  2.29E+01
00026	TOXICS   EPA IDEN FY      	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE  	1     	6     	1979-04-23	1979-04-26	  1.98E+03  	  1.98E+03  	  1.98E+03
00061	STREAM   FLOW,    INST-CFS	FLOW, STREAM, INSTANTANEOUS                    CFS	14    	70    	1968-01-10	1975-09-08	  1.00E+03  	  9.60E+01  	  3.11E+02
00070	TURB     JKSN     JTU     	TURBIDITY, (JACKSON CANDLE UNITS)                 	8     	50    	1968-01-10	1979-04-26	  1.00E+02  	  9.10E+00  	  2.85E+01
00078	TRANSP   SECCHI   METERS  	TRANSPARENCY, SECCHI DISC (METERS)                	1     	1     	1984-11-21	1984-11-21	  3.25E+00  	  3.25E+00  	  3.25E+00
00080	COLOR    PT-CO    UNITS   	COLOR (PLATINUM-COBALT UNITS)                     	9     	53    	1968-01-10	1984-11-21	  1.00E+02  	  8.00E+00  	  2.33E+01
00081	AP COLOR PT-CO    UNITS   	COLOR,APPARENT(UNFILTERED SAMPLE) PLAT-COB UNITS  	1     	9     	1975-01-13	1975-09-08	  1.00E+02  	  8.00E+00  	  3.87E+01
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	10    	49    	1967-10-18	1984-11-21	  1.60E+01  	  7.40E+01  	  8.11E+01
00154	SULFATE  (AS S)   MG/L    	SULFATE (AS S) WHOLE     WATER, MG/L              	1     	1     	1984-11-21	1984-11-21	  8.90E-01  	  8.90E-01  	  8.90E-01
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	15    	74    	1967-10-18	1975-09-08	  1.03E+01  	  9.50E+00  	  9.17E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	15    	74    	1967-10-18	1975-09-08	  1.00E+02  	  9.81E+01  	  8.85E+01
00304	BOD      2 DAY    MG/L    	BOD, 2 DAY, 20 DEG C                          MG/L	3     	3     	1968-08-22	1968-08-22	  1.00E+00  	  4.70E+00  	  2.23E+00
