Form,Date,RM,SHORE,SF,DTSF,DTSF2,COND,TEMP,TDS,SALINITY,DO%,DO,Effort,CATCH,CPUE,YEAR,MON,pa,AREA_2,S_Tide,P_Tide,Experimental_Net_ID,Experimental_Net
201417019,4/9/14 0:00,36,1,39,-3,0.42,3820,5,4004,3.32,113.9,14.18,384.42,0,0,2014,4,0,,4,4,C,1
201417024,4/9/14 0:00,38,1,39,-1,0.45,673,5,728,0.56,109.2,14.36,366.29,0,0,2014,4,0,,4,2,C,1
201417026,4/14/14 0:00,37,1,41,-4,0.41,332,7.2,325,0.22,104.8,12.57,404.37,1,0.247298266,2014,4,1,,4,4,C,1
201417032,4/16/14 0:00,39,1,35,4,0.51,193.5,8,186.55,0.14,105.8,12.45,375.35,1,0.26641801,2014,4,1,,2,2,C,1
201317020,3/28/13 0:00,38,3,62,-24,0.15,,,,,,,362.66,0,0,2013,3,0,,4,4,b,1
201317023,3/28/13 0:00,39,1,62,-23,0.17,,,,,,,1130.66,0,0,2013,3,0,,4,2,b,1
201317028,4/1/13 0:00,37,1,62,-25,0.14,4642,5.7,4751,3.98,101.3,12.38,380.79,0,0,2013,4,0,,3,4,b,1
201317030,4/2/13 0:00,36,3,62,-26,0.13,,,,,,,335.46,0,0,2013,4,0,,2,2,b,1
201317034,4/3/13 0:00,38,1,59,-21,0.19,2824,5.4,2879.5,2.44,107.5,13.36,398.93,0,0,2013,4,0,,2,2,b,1
201317036,4/3/13 0:00,40,1,59,-19,0.22,1254,5.1,1313,1.03,105.2,13.3,1162.66,0,0,2013,4,0,,2,,b,1
201317037,4/4/13 0:00,36,1,57,-21,0.19,3360,5.4,3484,2.88,110.7,13.72,386.24,0,0,2013,4,0,,2,2,b,1
201317040,4/4/13 0:00,35,3,57,-22,0.18,3295,5.5,3406,2.82,114,14.12,375.35,0,0,2013,4,0,,2,1,b,1
201317042,4/8/13 0:00,35,1,55,-20,0.21,,,,,,,363.87,1,0.274823426,2013,4,1,,3,4,b,1
201317045,4/8/13 0:00,38,3,55,-17,0.24,,,,,,,359.04,0,0,2013,4,0,,4,2,b,1
