Plot,Species,High class,Numb,type
115,???,0.5,1,evergreen
116,???,1,1,evergreen
117,???,0.5,1,evergreen
6,??,0.5,1,Domi
21,??,0.5,1,Domi
40,??,0.5,3,Domi
55,??,0.5,1,Domi
69,??,0.5,1,Domi
83,??,0.5,1,Domi
9,???,0.5,1,evergreen
21,???,1,6,evergreen
26,???,1,6,evergreen
57,???,1,2,evergreen
80,???,1,5,evergreen
81,???,1,3,evergreen
81,???,0.5,2,evergreen
84,???,1,2,evergreen
92,???,1,2,evergreen
92,???,0.5,2,evergreen
119,???,1,1,evergreen
122,???,1,2,evergreen
14,???,1,1,Pioneer
25,???,1,3,Pioneer
37,???,1,2,Pioneer
56,???,1,1,Pioneer
62,???,0.5,1,Pioneer
96,???,1,1,Pioneer
5,??,0.5,2,Pioneer
6,??,0.5,1,Pioneer
9,??,0.5,10,Pioneer
10,??,0.5,5,Pioneer
11,??,0.5,1,Pioneer
12,??,1,1,Pioneer
6,???,0.5,1,evergreen
7,???,0.5,1,evergreen
8,???,0.5,1,evergreen
12,???,0.5,1,evergreen
16,???,1,1,evergreen
17,???,0.5,1,evergreen
71,???,0.5,1,evergreen
81,???,0.5,1,evergreen
82,???,1,1,evergreen
59,??,0.5,1,Pioneer
18,????,1,1,companion
57,????,1,1,companion
78,????,0.5,1,companion
66,???,0.5,1,pioneer
11,???,0.5,1,pioneer
12,???,1,1,pioneer
13,???,0.5,4,pioneer
14,???,0.5,2,pioneer
16,???,1,2,pioneer
28,???,1,1,pioneer
34,???,1,1,pioneer
37,???,0.5,1,pioneer
45,???,0.5,1,pioneer
46,???,0.5,4,pioneer
47,???,0.5,2,pioneer
50,???,1,3,pioneer
51,???,0.5,1,pioneer
52,???,0.5,4,pioneer
53,???,0.5,7,pioneer
54,???,1,1,pioneer
55,???,1,2,pioneer
55,???,0.5,8,pioneer
56,???,1,2,pioneer
56,???,0.5,10,pioneer
57,???,1,2,pioneer
57,???,0.5,3,pioneer
58,???,0.5,1,pioneer
58,???,0.5,2,pioneer
60,???,1,3,pioneer
60,???,0.5,5,pioneer
61,???,0.5,8,pioneer
62,???,1,2,pioneer
62,???,0.5,5,pioneer
65,???,1,1,pioneer
73,???,0.5,1,pioneer
82,???,1,8,pioneer
82,???,0.5,3,pioneer
83,???,0.5,1,pioneer
85,???,1,1,pioneer
89,???,1,1,pioneer
91,???,1,1,pioneer
92,???,0.5,1,pioneer
93,???,1,4,pioneer
93,???,0.5,1,pioneer
94,???,1,1,pioneer
96,???,0.5,1,pioneer
97,???,1,1,pioneer
98,???,1,1,pioneer
98,???,0.5,2,pioneer
99,???,1,2,pioneer
101,???,0.5,1,pioneer
106,???,0.5,1,pioneer
107,???,1,1,pioneer
108,???,0.5,4,pioneer
111,???,1,1,pioneer
113,???,1,2,pioneer
113,???,0.5,1,pioneer
114,???,1,1,pioneer
125,????,0.5,1,evergreen
127,????,0.5,1,evergreen
13,????,1,1,companion
17,????,0.5,1,companion
36,????,1,1,companion
41,????,0.5,3,companion
44,????,1,1,companion
57,????,0.5,1,companion
116,????,0.5,1,companion
39,????,1,1,pioneer
40,????,1,3,pioneer
99,??,1,1,pioneer
70,????,1,3,tolerant
74,????,0.5,2,tolerant
80,????,1,2,tolerant
127,????,0.5,2,tolerant
68,????,0.5,1,companion
74,????,1,1,companion
95,????,1,1,companion
95,????,1,2,companion
95,????,0.5,2,companion
110,????,0.5,1,companion
5,???,0.5,1,pioneer
6,???,0.5,1,pioneer
14,???,1,1,pioneer
20,???,0.5,1,pioneer
24,???,1,1,pioneer
25,???,0.5,1,pioneer
26,???,0.5,1,pioneer
37,???,1,1,pioneer
37,???,0.5,1,pioneer
41,???,0.5,1,pioneer
52,???,0.5,2,pioneer
62,???,1,1,pioneer
95,???,1,1,pioneer
96,???,0.5,1,pioneer
99,???,1,3,pioneer
111,???,1,1,pioneer
112,???,1,1,pioneer
113,???,1,1,pioneer
11,???,1,1,companion
14,???,1,1,companion
44,???,1,2,companion
71,???,1,1,companion
72,???,1,1,companion
80,???,1,1,companion
48,???,0.5,1,companion
12,???,1,2,companion
14,???,0.5,4,companion
16,???,0.5,1,companion
20,???,0.5,3,companion
21,???,0.5,1,companion
23,???,0.5,1,companion
