Plot,Species,High class,Numb,type
115,???,0.5,1,4 
117,???,0.5,1,4 
116,???,1,1,4 
6,??,0.5,1,2 
21,??,0.5,1,2 
40,??,0.5,3,2 
55,??,0.5,1,2 
69,??,0.5,1,2 
83,??,0.5,1,2 
9,???,0.5,1,4 
81,???,0.5,2,4 
92,???,0.5,2,4 
21,???,1,6,4 
26,???,1,6,4 
57,???,1,2,4 
80,???,1,5,4 
81,???,1,3,4 
84,???,1,2,4 
92,???,1,2,4 
119,???,1,1,4 
122,???,1,2,4 
62,???,0.5,1,1 
14,???,1,1,1 
25,???,1,3,1 
37,???,1,2,1 
56,???,1,1,1 
96,???,1,1,1 
5,??,0.5,2,1 
6,??,0.5,1,1 
9,??,0.5,10,1 
10,??,0.5,5,1 
11,??,0.5,1,1 
12,??,1,1,1 
6,???,0.5,1,4 
7,???,0.5,1,4 
8,???,0.5,1,4 
12,???,0.5,1,4 
17,???,0.5,1,4 
71,???,0.5,1,4 
81,???,0.5,1,4 
16,???,1,1,4 
82,???,1,1,4 
59,??,0.5,1,1
78,????,0.5,1,3 
18,????,1,1,3 
57,????,1,1,3 
66,???,0.5,1,1
11,???,0.5,1,2
13,???,0.5,4,2
14,???,0.5,2,2
37,???,0.5,1,2
45,???,0.5,1,2
46,???,0.5,4,2
47,???,0.5,2,2
51,???,0.5,1,2
52,???,0.5,4,2
53,???,0.5,7,2
55,???,0.5,8,2
56,???,0.5,10,2
57,???,0.5,3,2
58,???,0.5,1,2
58,???,0.5,2,2
60,???,0.5,5,2
61,???,0.5,8,2
62,???,0.5,5,2
73,???,0.5,1,2
82,???,0.5,3,2
83,???,0.5,1,2
92,???,0.5,1,2
93,???,0.5,1,2
96,???,0.5,1,2
98,???,0.5,2,2
101,???,0.5,1,2
106,???,0.5,1,2
108,???,0.5,4,2
113,???,0.5,1,2
12,???,1,1,2
16,???,1,2,2
28,???,1,1,2
34,???,1,1,2
50,???,1,3,2
54,???,1,1,2
55,???,1,2,2
56,???,1,2,2
57,???,1,2,2
60,???,1,3,2
62,???,1,2,2
65,???,1,1,2
82,???,1,8,2
85,???,1,1,2
89,???,1,1,2
91,???,1,1,2
93,???,1,4,2
94,???,1,1,2
97,???,1,1,2
98,???,1,1,2
99,???,1,2,2
107,???,1,1,2
111,???,1,1,2
113,???,1,2,2
114,???,1,1,2
125,????,0.5,1,4
127,????,0.5,1,4
17,????,0.5,1,3
41,????,0.5,3,3
