Plot,Distance,Exposure,Position,Slope,Sand ratio,Total C,Gap,ABH
1,5,1,5,35,58.9,6.35,0.609,4043.73
2,10,1,3,35,63.68,5.21,0.538,0
3,15,1,2,35,42.95,5.3,0.467,0
4,20,3,2,30,62.21,10.11,0.389,111.17
5,25,3,3,40,54.57,4.32,0.381,202.76
6,30,3,4,30,41.16,7.5,0.316,395.02
7,35,2,5,20,52.8,7.49,0.258,2988.46
8,40,1,4,30,63.92,14.56,0.316,233.64
9,45,1,2,30,63.34,12.39,0.43,2691.39
10,50,2,1,15,36.81,7.06,0.385,81.57
11,55,3,2,25,41.8,10.77,0.225,0
12,60,3,4,35,45.68,11.69,0.154,1184.43
13,65,2,5,45,42.21,9.43,0.243,206.58
14,70,2,4,50,44.11,8.35,0.176,2463.32
15,75,2,4,50,57.81,13.78,0.02,94.62
16,80,3,4,50,42.27,7.41,0.026,554.89
17,85,2,5,15,19.06,10.49,0.187,1547.07
18,90,1,4,35,10.72,9.26,0.316,2024.3
19,95,1,3,45,37.54,9.78,0.282,3160.34
20,100,1,3,45,35.38,7.92,0.278,0
21,105,1,3,40,40.61,6.4,0.308,378.87
22,110,1,3,40,54.28,7.84,0.284,574.39
23,115,1,4,40,65.42,7.45,0.231,582.67
24,120,1,5,40,63.2,3.82,0.217,422.24
25,125,1,4,45,45.78,5.08,0.256,1372.71
26,130,1,3,45,65.99,4.64,0.41,56.18
27,135,1,2,50,66.27,2.58,0.525,0
28,140,1,1,45,71.19,1.97,0.513,55.39
29,145,1,2,15,26.04,9.12,0.387,1309.69
30,150,1,1,15,49.05,4.97,0.213,6390.4
31,155,1,2,15,47.96,5.88,0.166,1.03
32,160,1,1,15,29.98,6.2,0.333,45.36
33,165,1,1,15,32.61,5.36,0.548,720.1
34,170,1,2,5,45.57,5.37,0.568,489.48
35,175,1,1,10,41.66,4.95,0.373,152.95
36,180,1,1,50,35.99,4.7,0.266,2968.64
37,185,3,2,10,50.83,4.54,0.355,531.18
38,190,3,1,15,9.31,4.32,0.556,336.45
39,195,3,4,25,52.18,6.59,0.669,46.47
40,200,2,5,30,15.64,4.91,0.892,182.95
41,205,2,5,30,14.91,5.58,1.002,5468.81
42,210,2,5,20,19.57,5.02,0.874,1985.06
43,215,1,5,20,25.71,5.2,0.635,1108.04
44,220,1,3,35,25.53,5.36,0.361,6000.7
45,225,2,5,40,15.5,5.79,0.325,43.37
46,230,2,4,30,39.51,6.48,0.266,31.99
47,235,1,4,40,46.04,5.84,0.243,10121.47
48,240,1,3,35,37.43,5.46,0.393,149.21
49,245,1,2,20,40.7,4.65,0.566,1246.26
50,250,2,4,35,43.54,5.68,0.72,0
51,255,2,3,25,41.84,5.55,0.7,1282.07
52,260,1,3,20,29.92,4.14,0.554,370.2
53,265,1,4,35,23.83,4.93,0.428,6705.76
54,270,2,4,35,43.4,5.88,0.343,1386.56
55,275,2,4,20,37.07,5.29,0.385,1580.81
56,280,2,5,10,64.48,5.87,0.387,1415.92
57,285,1,4,35,58.08,7.32,0.347,348.31
58,290,1,3,40,48.97,7.44,0.404,1127.85
59,295,1,3,45,53.63,6.65,0.501,1299.34
60,300,1,3,30,55.57,7.6,0.465,535
61,305,1,2,25,44.1,6.97,0.333,176.66
62,310,1,4,15,41.36,4.49,0.207,226.32
63,315,1,5,45,65.51,8,0.213,1951.64
64,320,1,1,30,42.09,6.45,0.247,0
65,325,2,1,15,65.69,10.07,0.274,840.82
66,330,2,2,10,55.79,8.54,0.323,274.94
67,335,3,2,20,56.27,8.75,0.345,1261.94
68,340,3,2,35,60.56,4.87,0.347,3587.27
69,345,3,2,40,54.6,6.01,0.327,947.61
70,350,2,3,45,60.84,5.75,0.32,845.51
71,355,2,4,45,59.57,7.09,0.331,920.71
72,360,3,4,45,51.78,8.67,0.318,2732.22
73,365,2,5,40,41,5.96,0.292,55.15
74,370,1,5,45,4.42,8.22,0.252,4705.42
75,375,1,4,25,55.29,10.7,0.239,40.74
76,380,1,2,15,28.59,8.95,0.211,1022.73
77,385,1,1,10,50.42,6.66,0.197,0
78,390,2,2,15,28.79,5.43,0.25,0
79,395,2,4,25,22.63,5.72,0.318,238.1
80,400,2,5,20,35.36,7.02,0.4,2720.12
81,405,1,5,25,30.97,7.76,0.416,4894.97
82,410,1,4,25,30.2,5.47,0.657,104.72
83,415,1,4,35,36.88,7.47,0.882,260.78
84,420,1,3,35,60.83,9.44,0.911,350.38
85,425,1,2,20,29.56,5.67,0.716,631.77
86,430,1,3,20,57.36,9.45,0.462,0
87,435,1,2,40,52.88,7.34,0.402,1856.94
88,440,1,2,30,70.6,13.56,0.361,19.42
89,445,1,1,5,69.62,7.8,0.379,31.51
90,450,1,1,5,70.46,8.5,0.302,108.94
91,455,1,2,25,41.09,5.74,0.207,94.7
92,460,2,3,40,42.78,5.84,0.14,194.09
93,465,1,4,30,40.27,6.32,0.168,1500.44
94,470,1,5,30,62.56,4.72,0.27,839.86
95,475,1,4,40,65.62,4.42,0.345,11.54
96,480,1,3,50,54.71,6.7,0.428,3233.24
97,485,2,1,15,58.12,8.72,0.436,155.26
98,490,2,2,10,57.58,3.17,0.501,457.01
99,495,2,2,10,56.79,7.28,0.558,3154.3
100,500,2,1,10,56.04,10.25,0.671,724.71
101,505,2,2,10,54.53,8.41,0.726,95.33
102,510,2,1,15,39.74,7.05,0.596,164.73
103,515,3,1,40,23.84,3.82,0.41,0
104,520,3,2,40,44.3,6.29,0.203,364.94
105,525,3,3,40,36.88,4.66,0.181,632.48
106,530,3,3,30,53.22,7.7,0.217,281.71
107,535,3,3,30,31.24,3.81,0.274,860.71
108,540,3,3,35,50.09,7.95,0.258,714.77
109,545,3,3,30,30.83,8.3,0.185,2019.6
110,550,3,3,30,62.56,7.58,0.055,5.09
111,555,2,3,30,45.21,7.05,0,2323.66
112,560,2,3,35,52.79,7.22,0.047,1365.15
113,565,2,2,30,45.14,6.67,0.154,424.15
114,570,2,2,35,64.13,6.68,0.278,266.43
115,575,3,3,50,73.08,8.29,0.296,1554.07
116,580,3,3,50,44.79,4.3,0.284,164.65
117,585,3,3,45,47.57,4.46,0.254,671.55
118,590,2,3,30,67.33,7.59,0.227,1690.47
119,595,2,3,40,57.58,8.45,0.229,1799.09
120,600,2,3,45,54.69,10.53,0.189,4169.78
121,605,2,4,45,59.9,9.93,0.148,1722.3
122,610,2,4,40,56.1,8.38,0.197,344.25
123,615,2,4,30,65.11,13.65,0.288,3213.1
124,620,2,4,45,50.46,9.35,0.31,721.05
125,625,2,4,45,62.63,6.11,0.241,1453.72
126,630,2,5,30,63.62,10.21,0.17,672.11
127,635,2,5,20,64.06,6.78,0.168,1382.42
128,640,3,5,15,36.04,6.39,0.166,1999.79
