,City,SUID,STAID,Reach,CollectionDate,SampleID,SMCOD,Tot.Abund,pPA.abund,pPR.abund,pOM.abund,pGC.abund,pFC.abund,pSC.abund,pSH.abund,pPI.abund,Intol.abundp,ModTol.abundp,Tol.abundp,RICH,PA.rich,PR.rich,OM.rich,GC.rich,FC.rich,SC.rich,SH.rich,PI.rich,Intol.rich,Modtol.rich,Tol.rich,OtherTol,MANUII,NUII,DA,NLCD1,NLCD2,NLCD3,NLCD4,NLCD5,NLCD7,NLCD8,NLCD9,NLCD.IS,NOAA.IS
1,ATL,ACFB,2204230,A,5/5/03,107650,ACFB0503IRM0216,1795.09,1.52,2.82,7.19,34.68,44.97,1.58,7.23,0,0,95.93,4.07,28,1,5,5,8,6,2,1,0,0,20,5,3,46.59052025,27.84934044,129.4336706,0.833762152,43.21446949,0.804556138,34.8462512,2.258598389,3.216138409,10.23740317,4.588821051,12.9952,17.25
2,ATL,ACFB,2204468,A,4/30/03,107635,ACFB0403IRM0014,979.81,0.27,10.23,18.32,12.18,34.3,5.95,18.76,0,0,91.13,8.87,38,1,7,4,12,8,3,3,0,0,28,6,4,25.46600308,15.98087068,125.0599749,1.241967864,24.79546387,1.711843308,37.88937419,2.786152706,5.157836414,22.66771243,3.749649212,6.70713,8.06
3,ATL,ACFB,2206314,A,4/28/03,107641,ACFB0403IRM0300,1913.92,0.34,3,25.18,54.43,4.48,7.87,4.71,0,0.59,43.83,55.58,28,1,4,5,8,5,2,3,0,1,20,4,3,77.32974149,45.61544403,55.46304454,0.665282015,67.00038943,0.712338547,24.98539625,0.488414357,1.031998442,2.740637373,2.375543584,20.1284,24.47
4,ATL,ACFB,2208150,A,4/30/03,107605,ACFB0403IRM0206,1131.22,0.25,1.6,22.62,49.06,24.66,0.58,1.23,0,0,60.21,39.79,33,1,3,7,14,5,1,2,0,0,23,6,4,33.68550802,20.58965707,79.46934053,0.599093998,39.66704417,3.54813137,36.15741789,2.291053228,5.087202718,11.7214043,0.928652322,14.6419,10.23
5,ATL,ACFB,2213450,A,4/29/03,107639,ACFB0403IRM0204,761,0,17.54,6.46,30.33,22.24,3.11,20.32,0,1.24,80.82,17.94,42,0,8,4,13,7,3,6,0,2,28,6,6,2.474702572,3.398422581,146.2541537,0.962206924,3.591049753,1.596500618,58.4479184,3.485846822,6.434604997,22.45190503,3.029967455,0.31428,0
6,ATL,ACFB,2217293,A,4/28/03,107588,ACFB0403IRM0200,1889.94,0.92,5.65,36.13,26.3,16.93,2.02,12.05,0,3.06,49.97,46.97,51,1,8,5,21,7,3,6,0,7,27,10,7,21.47641262,13.79198187,73.49352651,0.70663156,20.37597208,2.81917825,41.19404813,1.912926336,6.859347254,23.3212908,2.810605597,5.8315,4.75
7,ATL,ACFB,2217471,A,4/29/03,107677,ACFB0403IRM0202,1209.85,1.51,3.52,32.18,25.21,29.66,0.61,7.3,0,2.19,66.54,31.27,48,1,6,5,20,9,2,5,0,3,28,8,9,17.61332683,11.55199414,52.45591754,0.573075735,16.37726914,1.041487938,38.33773721,1.408668199,6.763666312,32.97416012,2.523935349,5.01762,5.49
8,ATL,ACFB,2218700,A,4/30/03,107597,ACFB0403IRM0208,903.56,0.56,6.65,27.63,22.42,34.89,1.58,6.26,0,11.34,60,28.66,40,1,9,6,10,7,2,4,0,4,27,4,5,17.41780805,11.56698878,138.5556614,0.426792431,17.83953384,3.191523915,39.33376207,1.72405953,7.663425123,25.24116696,4.579736129,5.93138,4.77
9,ATL,ACFB,2221000,A,4/30/03,107693,ACFB0403IRM0017,744.09,0,13.51,19.91,14.44,43.76,1.13,7.24,0,7.25,72.6,20.15,39,0,8,5,12,9,1,4,0,7,21,6,5,2.973274794,3.666661789,61.40763859,2.002286652,3.808155727,2.82753364,63.02952127,0.804725748,11.09319574,12.54580634,3.888774882,0.365703,0
10,ATL,ACFB,2334885,A,4/28/03,107174,ACFB0403IRM0001,1072.67,0.65,1.74,36.67,16.64,39.13,0.02,5.15,0,0,54.17,45.83,26,1,3,5,8,5,1,3,0,0,18,6,2,37.18314824,22.52251643,122.0975779,0.423082309,42.55810011,2.87386398,37.9948552,1.522801483,3.347804616,8.751317525,2.528174776,13.4597,12.3
