"","STATION","DATE","TIME","R","NH4","R.1","NO2","R.2","TKN","R.3","N2.3","R.4","TOTP","R.5","SRP","AGY","R.6","BOD","AGY.1","R.7","ECOL","R.8","FECAL","AGY.2","R.9","wtemp","R.10","bpres","R.11","flow","R.12","cond","R.13","DO","R.14","DOPCT","R.15","pH","R.16","SSC","R.17","SSF","R.21","P04035","R.23","P04040","R.41","P39415","R.44","P39572","R.45","P39632","R.62","P49300","R.88","P82670","R.94","P82676","MapNumber","Longitude","Latitude","Class","Size","LU.Ag","LU.For","LU.Resid","LU.Other","Month","NumCrops"
"1",14190970,19960418,1530,NA,NA,NA,NA,NA,NA,NA,1.1,NA,0.05,NA,NA,"USGS",NA,NA,NA,NA,NA,NA,NA,NA,NA,12.23,NA,757,NA,38.3,NA,70,NA,10.3,NA,96.683,NA,7.46,NA,NA,NA,NA,NA,0.058,"E",0.007,NA,0.005,NA,0.009,NA,0.027,NA,0.66,NA,0.063,"<",0.003,"U3",-123.031388888889,44.9291666666667,"URBAN",5484,20,0,80,0,"Apr",NA
"2",14190970,19960515,1330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.25,NA,760,NA,16.93,NA,71.1,NA,10.8,NA,107.95,NA,7.78,NA,14,NA,NA,NA,0.019,"E",0.012,NA,0.006,NA,0.031,NA,0.073,NA,0.35,NA,0.16,"<",0.003,"U3",-123.031388888889,44.9291666666667,"URBAN",5484,20,0,80,0,"May",NA
"3",14190970,19960723,1300,"<",0.02,"<",0.005,NA,0.492,NA,0.617,NA,0.092,"<",0.01,"USA","<",2,"POR",NA,4300,NA,5000,"EUG",NA,23.49,NA,759,NA,11.2,NA,75.5,NA,11.16,NA,131.94,NA,7.34,NA,51,NA,96,NA,0.043,"E",0.006,NA,0.12,NA,0.007,NA,0.071,"E",0.02,NA,0.019,"<",0.003,"U3",-123.031388888889,44.9291666666667,"URBAN",5484,20,0,80,0,"Jul",NA
"4",14190970,19961014,1740,NA,0.114,"E",0.01,NA,1.19,NA,0.329,NA,0.273,NA,0.058,"USA",NA,8.5,"POR",NA,1000,NA,7700,"EUG",NA,13.89,NA,761,NA,11.8,NA,67.7,NA,6.64,NA,64.342,NA,7.35,NA,52,NA,NA,NA,0.221,"<",0.002,NA,0.106,NA,0.0366,NA,0.0444,"E",0.03,"<",0.04,"<",0.003,"U3",-123.031388888889,44.9291666666667,"URBAN",5484,20,0,80,0,"Oct",NA
"5",14190970,19961114,1320,"<",0.01,"<",0.01,"E",0.256,NA,0.68,"E",0.051,"<",0.01,"USA","<",2,"POR",NA,NA,NA,NA,NA,NA,11.88,NA,765,NA,24.2,NA,87,NA,10.2,NA,93.983,NA,7.21,NA,9,NA,100,NA,0.0388,"E",0.0075,NA,0.0092,"<",0.002,NA,0.0215,"E",0.44,NA,0.0905,"<",0.003,"U3",-123.031388888889,44.9291666666667,"URBAN",5484,20,0,80,0,"Nov",NA
"6",14206680,19960419,1430,NA,NA,NA,NA,NA,NA,NA,1.2,NA,0.05,NA,NA,"USGS",NA,NA,NA,NA,NA,NA,NA,NA,NA,9.48,NA,762,NA,33.5,NA,63,NA,10.4,NA,90.965,NA,6.62,NA,NA,NA,NA,NA,0.49,"E",0.01,"<",0.002,"<",0.002,NA,0.077,"<",0.02,"<",0.01,"<",0.003,"9",-122.926666666667,45.4022222222222,"AGRICULTURAL",6173,40,49,7,4,"Apr",21
"7",14206680,19960514,1120,NA,0.03,NA,NA,NA,NA,NA,0.82,NA,0.07,NA,0.056,"ODEQ",NA,0.7,"ODEQ","E",385,"E",460,"OHD",NA,12.49,NA,NA,NA,14.6,NA,81.3,NA,9.35,NA,87.3,NA,6.83,NA,27,NA,NA,NA,0.065,"E",0.008,"<",0.002,"<",0.002,NA,0.078,"<",0.02,"<",0.01,"<",0.003,"9",-122.926666666667,45.4022222222222,"AGRICULTURAL",6173,40,49,7,4,"May",21
"8",14206680,19960725,1220,"E",0.036,"<",0.005,NA,0.283,NA,0.368,NA,0.137,NA,0.047,"USA","<",2,"POR",NA,1300,NA,2600,"EUG",NA,19.06,NA,NA,NA,1.99,NA,102.4,NA,7.09,NA,NA,NA,6.9,NA,11,NA,88,NA,0.013,"E",0.005,"<",0.002,"<",0.002,NA,0.015,"<",0.02,"<",0.01,"<",0.003,"9",-122.926666666667,45.4022222222222,"AGRICULTURAL",6173,40,49,7,4,"Jul",21
"9",14206680,19961019,1300,"E",0.027,"<",0.005,NA,0.291,NA,0.527,NA,0.086,"E",0.025,"USA","<",2,"POR",NA,NA,NA,NA,NA,NA,9.88,NA,759,NA,6.78,NA,83.2,NA,9,NA,79.794,NA,6.72,NA,27,NA,80,NA,0.0124,"E",0.0038,"E",0.0037,"<",0.002,NA,0.0133,"<",0.02,"<",0.01,"<",0.003,"9",-122.926666666667,45.4022222222222,"AGRICULTURAL",6173,40,49,7,4,"Oct",21
"10",14206680,19961118,1010,NA,0.05,NA,NA,NA,0.4,NA,1.1,NA,0.05,NA,0.025,"ODEQ",NA,NA,"POR",NA,150,NA,190,"EUG",NA,8.28,NA,751,NA,18.3,NA,71,NA,11.02,NA,95.034,NA,6.6,NA,12,NA,NA,NA,0.0102,"E",0.0046,"<",0.002,"<",0.002,NA,0.0124,"<",0.02,"<",0.01,"<",0.003,"9",-122.926666666667,45.4022222222222,"AGRICULTURAL",6173,40,49,7,4,"Nov",21
"11",4.41e+14,19960418,1440,NA,NA,NA,NA,NA,NA,NA,0.93,NA,0.13,NA,NA,"USGS",NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,4.74,NA,227,NA,NA,NA,NA,NA,8.64,NA,NA,NA,NA,NA,0.013,"E",0.02,NA,0.046,"<",0.002,NA,0.059,"E",0.71,NA,0.097,NA,0.02,"106",-123.228611111111,44.2152777777778,"AGRICULTURAL",5364,84,0,11,4,"Apr",13
"12",4.41e+14,19960513,1150,NA,0.05,NA,NA,NA,NA,NA,0.86,NA,0.16,NA,0.085,"ODEQ",NA,1.5,"ODEQ",">",1600,">",1600,"OHD",NA,17.76,NA,NA,NA,1.36,NA,278,NA,7.95,NA,83.4,NA,7.4,NA,10,NA,81,NA,0.005,"E",0.024,NA,0.009,"<",0.002,NA,0.027,"E",0.63,NA,0.045,NA,0.01,"106",-123.228611111111,44.2152777777778,"AGRICULTURAL",5364,84,0,11,4,"May",13
"13",4.41e+14,19960724,950,"E",0.039,"<",0.005,NA,2.94,NA,0.03,NA,0.894,NA,0.119,"USA","<",2,"POR",NA,380,NA,840,"EUG",NA,23.5,NA,760,"E",0.1,NA,353,NA,5.35,NA,63.233,NA,7.39,NA,12,NA,97,"<",0.005,"E",0.026,"<",0.002,"<",0.002,NA,0.02,"E",0.16,"<",0.01,"<",0.003,"106",-123.228611111111,44.2152777777778,"AGRICULTURAL",5364,84,0,11,4,"Jul",13
"14",4.41e+14,19961024,1530,"E",0.036,NA,NA,NA,1.02,NA,1.71,NA,0.283,NA,0.25,"USA","<",2,"POR",NA,60,NA,200,"EUG",NA,12.92,NA,747,NA,0.39,NA,410,NA,NA,NA,NA,NA,7.02,NA,18,NA,74,"<",0.005,"E",0.0133,NA,0.0663,"<",0.002,NA,0.0402,"E",1.7,NA,0.0146,"<",0.003,"106",-123.228611111111,44.2152777777778,"AGRICULTURAL",5364,84,0,11,4,"Oct",13
"15",4.41e+14,19961118,1250,NA,0.09,NA,NA,NA,1.6,NA,3.5,NA,0.3,NA,0.173,"ODEQ",NA,NA,"POR",NA,2200,NA,3300,"EUG",NA,8.44,NA,741,NA,40.4,NA,156,NA,8.31,NA,72.947,NA,6.82,NA,79,NA,98,NA,0.0252,"E",0.0087,NA,0.16,"<",0.002,NA,0.0414,"E",3.1,"<",0.01,NA,0.0068,"106",-123.228611111111,44.2152777777778,"AGRICULTURAL",5364,84,0,11,4,"Nov",13
